scenario_index,feature_mode,users,rbs,rb_budget_ratio,cqi_min,cqi_max,cqi_span,mean_cost_std,max_same_cqi_cost_std,teacher_groups,cqi_groups,resource_groups,multifeature_groups,teacher_gain_vs_no_grouping,teacher_gain_vs_cqi,resource_gain_vs_cqi,multifeature_gain_vs_cqi,resource_gap_vs_teacher,multifeature_gap_vs_teacher,cqi_pairwise_vs_teacher,resource_pairwise_vs_teacher,multifeature_pairwise_vs_teacher,teacher_utility,cqi_utility,resource_utility,multifeature_utility,no_grouping_utility,benchmark_id,benchmark_title,cqi_dispersion,rb_heterogeneity,pressure,scenario_mode,split,seed,accepted,selected,acceptance_score
11,history_cost_quality,12,72,0.34,7,14,7,0.02217189705191024,0.009259259259259252,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8374114449836072,0.8374114449836072,0.8374114449836072,0.8374114449836072,0.8374114449836072,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.0027777777777777753
12,history_cost_quality,12,72,0.34,7,12,5,0.016298727474258236,0.0052722416545973975,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.0015816724963792193
13,history_cost_quality,12,72,0.34,6,13,7,0.029170850996475196,0.0058560697410525555,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8207447783169406,0.8207447783169406,0.8207447783169406,0.8207447783169406,0.8207447783169406,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.0017568209223157666
14,history_cost_quality,12,72,0.34,8,11,3,0.014075182366477389,0.008101851851851846,1,1,1,1,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,1.0,1.0,1.0,0.85,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.8500000000000001,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.0024305555555552984
15,history_cost_quality,12,72,0.34,10,14,4,0.008719050447522783,0.006547285010986554,2,2,1,1,0.006973962783242138,0.006973962783241916,-2.220446049250313e-16,-2.220446049250313e-16,0.006973962783242138,0.006973962783242138,0.5909090909090909,0.5151515151515151,0.5151515151515151,0.9027187411001826,0.8957447783169407,0.8957447783169404,0.8957447783169404,0.8957447783169404,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.018004299904752483
16,history_cost_quality,12,72,0.34,6,12,6,0.024317035061015655,0.006637596656668689,1,1,1,1,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,0.8374114449836073,0.8374114449836072,0.8374114449836072,0.8374114449836072,0.8374114449836072,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.001991278997000862
17,history_cost_quality,12,72,0.34,7,12,5,0.019328665200424918,0.0047564922862414925,2,1,1,1,0.013577953631807471,0.013577953631807471,0.0,0.0,0.013577953631807471,0.013577953631807471,0.696969696969697,0.696969696969697,0.696969696969697,0.8426560652820814,0.8290781116502739,0.8290781116502739,0.8290781116502739,0.8290781116502739,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,1,1,0.032656241039029636
18,history_cost_quality,12,72,0.34,7,13,6,0.018997588957616718,0.005787037037037042,1,1,1,1,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,0.8540781116502739,0.8540781116502738,0.8540781116502738,0.8540781116502738,0.8540781116502738,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.001736111111111368
19,history_cost_quality,12,72,0.34,7,12,5,0.018213595233919893,0.008101851851851853,1,1,1,1,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,1.0,1.0,1.0,0.8666666666666667,0.8666666666666668,0.8666666666666668,0.8666666666666668,0.8666666666666668,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.0024305555555553006
20,history_cost_quality,12,72,0.34,8,14,6,0.018238095092860358,0.004756492286241499,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8750000000000001,0.8750000000000001,0.8750000000000001,0.8750000000000001,0.8750000000000001,bench_d2_h3_p3_main_hard,Main hard corridor showcase,d2_midspread,h3_strong_heterogeneous,p3_high,corridor_general,train,37,0,0,0.0014269476858724496
