dispersion,load,strict_events,seeds_with_strict_event,total_same_state_gain,median_positive_gain,top1_gain_share,top3_gain_share
mid,light,12,6,0.25951964011648765,0.016065647451948495,0.16350850266178651,0.4372255126091137
mid,medium,7,3,0.554663972575939,0.08928930935164481,0.20959594010028415,0.5843526215471058
mid,heavy,1,1,0.01666666666666669,0.01666666666666669,1.0,1.0
high,light,22,9,0.49422988912945665,0.012035215465020566,0.15884279998306963,0.4239617846575927
high,medium,17,8,0.511658584981653,0.024129711102257978,0.15569242520816967,0.39396088676670515
high,heavy,1,1,0.22033260007967806,0.22033260007967806,1.0,1.0
