feature,quartile,feature_low,feature_high,n_transitions,switching_strict_win_rate,mean_switching_marginal_same_state,mean_diff_vs_2way_trajectory
cqi_std,1,1.2909944487358056,2.1343579292065504,210,0.023809523809523808,0.0011523140654382995,-7.069359151834962e-05
cqi_std,2,2.1343579292065504,2.576604138956718,207,0.07246376811594203,0.0021206706470944677,0.0006689768997799538
cqi_std,3,2.576604138956718,2.9145081041603724,213,0.12206572769953052,0.003983457894005829,0.0024196418371674275
cqi_std,4,2.9145081041603724,3.7850216497252545,210,0.06666666666666667,0.0025125240211240083,0.0019234317565104985
cqi_temporal_delta,1,1.0833333333333333,1.5,189,0.0582010582010582,0.002678425169206477,0.0015293295126277756
cqi_temporal_delta,2,1.5,1.875,216,0.07407407407407407,0.0023296050144522343,0.000789049809065447
cqi_temporal_delta,3,1.875,2.25,219,0.1050228310502283,0.0033588035580765295,0.0021081748207873448
cqi_temporal_delta,4,2.25,3.1666666666666665,216,0.046296296296296294,0.0014447978436546963,0.0005637436195474492
cqi_history_volatility,1,1.066761787218372,1.2933595353484748,210,0.07142857142857142,0.0032022151767452504,0.0016657126782507329
cqi_history_volatility,2,1.2933595353484748,1.5061898544594288,210,0.023809523809523808,0.0006876166022113428,-0.0006761433829263076
cqi_history_volatility,3,1.5061898544594288,1.864080394908985,210,0.10952380952380952,0.0022650309295944742,0.0012703547353750697
cqi_history_volatility,4,1.864080394908985,2.195403044906442,210,0.08095238095238096,0.0036407151654959846,0.0027064423703455705
previous_quality_std,2,0.0,0.2763853991962833,404,0.0,0.0,0.00024752475247524753
previous_quality_std,3,0.2763853991962833,0.5527707983925666,218,0.07339449541284404,0.002233554013235615,0.0020500123224684134
previous_quality_std,4,0.5527707983925666,1.8856180831641267,218,0.2018348623853211,0.0072025531131399865,0.002275386504226374
previous_quality_cqi_mismatch,1,0.7083333333333334,1.5,199,0.11557788944723618,0.0023411299179845477,0.0007338388972598455
previous_quality_cqi_mismatch,2,1.5,2.1666666666666665,219,0.1187214611872146,0.00531190647197985,0.0022580903190726766
previous_quality_cqi_mismatch,3,2.1666666666666665,3.0,209,0.04784688995215311,0.001967523042300011,0.0016461621552847127
previous_quality_cqi_mismatch,4,3.0,3.75,213,0.004694835680751174,7.824726134585327e-05,0.0002738654147104855
cost_std_across_users,1,0.20588843167185555,1.2476484703616117,210,0.023809523809523808,0.0011523140654382995,-0.000825087107153931
cost_std_across_users,2,1.2476484703616117,2.3716524918888684,210,0.0761904761904762,0.002845116525878298,0.0014741103318594165
cost_std_across_users,3,2.3716524918888684,3.5149040987008227,210,0.11904761904761904,0.0030730180758732108,0.0024868042249502095
cost_std_across_users,4,3.5149040987008227,4.80322679605294,210,0.06666666666666667,0.002725129206857244,0.0018305389513893703
cqi_cost_rank_disagreement,1,0.002088262794353535,0.008470660158282267,210,0.12857142857142856,0.004491416802479965,0.00408997680087496
cqi_cost_rank_disagreement,2,0.008470660158282267,0.022261778741666072,210,0.06666666666666667,0.0018644642012755662,0.00033695521351075313
cqi_cost_rank_disagreement,3,0.022261778741666072,0.043288156756178975,210,0.06190476190476191,0.0023949607418887694,0.0003547875503105826
cqi_cost_rank_disagreement,4,0.043288156756178975,0.13539973133728794,210,0.02857142857142857,0.0010447361284027516,0.00018464683634877022
previous_quality_rb_pressure,1,3.5833333333333335,6.5,204,0.15196078431372548,0.00380218125831462,0.001979897167950263
previous_quality_rb_pressure,2,6.5,8.5,213,0.06572769953051644,0.001446384008135382,0.0012116422240978253
previous_quality_rb_pressure,3,8.5,12.0,104,0.0673076923076923,0.0018979261123414166,-0.0011342850156605005
previous_quality_rb_pressure,4,12.0,18.5,319,0.025078369905956112,0.0024324835969823035,0.0015640243569074147
