dispersion,load,strict_events_with_next_step,gain_erased_next_count,gain_erased_next_rate,mean_immediate_jump_vs_2way_path,mean_next_retained_vs_pre_event_gap
mid,light,12,5,0.4166666666666667,0.0153986890117118,-0.010028983970589508
mid,medium,7,4,0.5714285714285714,0.046883967566522675,-0.02732227283524296
mid,heavy,1,0,0.0,0.01666666666666669,0.0
high,light,21,11,0.5238095238095238,0.02063755413275848,-0.010030614771107409
high,medium,15,6,0.4,0.02292636519158632,-0.010361640869755964
high,heavy,1,0,0.0,0.22033260007967806,0.041666666666666664
