dispersion,load,n_transitions,switching_strict_win_count,switching_strict_win_rate,mean_switching_marginal_same_state,mean_positive_switching_marginal,mean_diff_vs_cqi_trajectory,mean_diff_vs_2way_trajectory
low,light,140,0,0.0,0.0,0.0,0.0,0.0
low,medium,140,0,0.0,0.0,0.0,0.0,0.0
low,heavy,140,0,0.0,0.0,0.0,0.0,0.0
mid,light,140,12,0.08571428571428572,0.001853711715117769,0.021626636676373972,0.02378829248471949,-9.585877503164626e-05
mid,medium,140,7,0.05,0.003961885518399564,0.0792377103679913,0.025022189983533363,0.0015610622831007273
mid,heavy,140,1,0.007142857142857143,0.00011904761904761962,0.01666666666666669,0.002797236188958525,0.00011904761904761962
high,light,140,22,0.15714285714285714,0.003530213493781833,0.02246499496042985,0.034058721533934584,0.0009667706310241557
high,medium,140,17,0.12142857142857143,0.0036547041784403783,0.03009756382245018,0.019658954757094838,0.0030271045095242796
high,heavy,140,1,0.007142857142857143,0.0015738042862834148,0.22033260007967806,0.04078232302504232,0.0018714233339024622
