quality_mean_bucket,scenario_count,multi_group_count,multi_group_ratio,mean_teacher_group_count,mean_teacher_gain_vs_single,max_teacher_gain_vs_single
"high[3,4)",248,0,0.0,1.0,0.0,0.0
low(<2),320,15,0.046875,1.046875,0.0007590117299793055,0.05715940214371462
"mid[2,3)",262,0,0.0,1.0,0.0,0.0
