cqi_range_bucket,scenario_count,multi_group_count,multi_group_ratio,mean_teacher_group_count,mean_teacher_gain_vs_single,max_teacher_gain_vs_single
0,164,0,0.0,1.0,0.0,0.0
1,314,0,0.0,1.0,3.535742116640626e-19,1.1102230246251565e-16
2,171,0,0.0,1.0,-1.2985064615498906e-17,1.1102230246251565e-16
3+,181,10,0.055248618784530384,1.0552486187845305,0.0011081717482620441,0.03242487072117384
