segment_id,ue_ids,serving_gnb,segment_start_s,segment_end_s,suggested_split_s,focus_train_scenarios,focus_test_scenarios,focus_train_positive_gain_count,focus_test_positive_gain_count
seg_01,3|4|5|6,gnb_2,25.8,28.3,27.0,13,13,13,13
seg_01,3|4|5|6,gnb_2,25.8,28.3,26.9,12,14,12,14
seg_01,3|4|5|6,gnb_2,25.8,28.3,27.1,14,12,14,12
seg_01,3|4|5|6,gnb_2,25.8,28.3,26.8,11,15,11,15
seg_01,3|4|5|6,gnb_2,25.8,28.3,27.2,15,11,15,11
seg_01,3|4|5|6,gnb_2,25.8,28.3,26.7,10,16,10,16
seg_01,3|4|5|6,gnb_2,25.8,28.3,27.3,16,10,16,10
seg_01,3|4|5|6,gnb_2,25.8,28.3,26.6,9,17,9,17
seg_01,3|4|5|6,gnb_2,25.8,28.3,27.4,17,9,17,9
seg_01,3|4|5|6,gnb_2,25.8,28.3,26.5,8,18,8,18
seg_01,3|4|5|6,gnb_2,25.8,28.3,27.5,18,8,18,8
seg_01,3|4|5|6,gnb_2,25.8,28.3,26.4,7,19,7,19
seg_01,3|4|5|6,gnb_2,25.8,28.3,27.6,19,7,19,7
seg_01,3|4|5|6,gnb_2,25.8,28.3,26.3,6,20,6,20
seg_01,3|4|5|6,gnb_2,25.8,28.3,27.7,20,6,20,6
seg_01,3|4|5|6,gnb_2,25.8,28.3,26.2,5,21,5,21
seg_01,3|4|5|6,gnb_2,25.8,28.3,27.8,21,5,21,5
seg_01,3|4|5|6,gnb_2,25.8,28.3,26.1,4,22,4,22
seg_01,3|4|5|6,gnb_2,25.8,28.3,27.9,22,4,22,4
seg_01,3|4|5|6,gnb_2,25.8,28.3,26.0,3,23,3,23
seg_01,3|4|5|6,gnb_2,25.8,28.3,28.0,23,3,23,3
seg_01,3|4|5|6,gnb_2,25.8,28.3,25.9,2,24,2,24
seg_01,3|4|5|6,gnb_2,25.8,28.3,28.1,24,2,24,2
seg_01,3|4|5|6,gnb_2,25.8,28.3,25.8,1,25,1,25
seg_01,3|4|5|6,gnb_2,25.8,28.3,28.2,25,1,25,1
