quality_range_bucket,scenario_count,multi_group_count,multi_group_ratio,mean_teacher_group_count,mean_teacher_gain_vs_single,max_teacher_gain_vs_single
0,627,3,0.004784688995215311,1.0047846889952152,0.0002734899624101178,0.05715940214371462
1,195,0,0.0,1.0,1.1386902816668272e-18,2.220446049250313e-16
2,8,6,0.75,1.75,0.008925693395279377,0.01190092452703917
