scenario_mode,load_level,rb_budget_ratio,seed,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.572463768115942,0.14109393955377397,0.24884217350087404,3,2
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.4855072463768116,-0.0118242371043527,0.009742471907714725,3,2
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.5760869565217391,0.21522309711286086,0.4148726829494013,2,3
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.7971014492753623,0.6101694915254237,0.7655069641922375,2,3
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.5253623188405797,0.058143169740543885,0.11420246605904637,3,2
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.5905797101449275,0.054565296471444154,0.16986394999407095,3,3
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.8152173913043478,0.626552053486151,0.659388711223644,3,2
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.7608695652173914,0.5018867924528302,0.3965498543546865,3,3
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.5,-0.012494018820777306,0.05544002054135646,3,2
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.6231884057971014,0.1474903474903475,0.2880154988847188,3,3
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.8369565217391305,0.0,0.0,3,1
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.7065217391304348,0.31229235880398676,0.2901095708129582,3,2
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.5905797101449275,0.17202930869703728,0.3824702836262387,2,3
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.7101449275362319,0.41025641025641024,0.5295405780575617,2,3
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.44565217391304346,-0.008213160156622962,0.1864427451766723,3,3
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.6086956521739131,0.26526990386985455,0.34339705976964113,3,3
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.4855072463768116,-0.015915806936596,0.11116829242298515,3,3
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.6920289855072463,0.38988869239571416,0.3649227471645095,3,3
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.4782608695652174,-0.018189270892042805,0.20374076522192616,3,2
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.5615942028985508,0.10981981021430859,0.34342197546303704,3,3
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.6884057971014492,0.39147823411782795,0.5826589894472148,3,3
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.8804347826086957,0.7597340930674265,0.6792661117271339,3,2
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.6485507246376812,0.29894207604483086,0.24018013962430937,3,2
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.5797101449275363,0.16490166414523452,0.17703325470120687,3,3
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.6920289855072463,0.3600654664484451,0.48152732020717004,3,3
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.6956521739130435,0.3852680702126532,0.4908110897200543,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.6666666666666666,0.34560074222978193,0.5350509163563224,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.7971014492753623,0.5937549282447564,0.55572229381156,3,2
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.5108695652173914,0.07598452534470783,0.06327462509363707,3,2
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.5108695652173914,0.02572952620018824,0.029821975290406137,3,2
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.7318840579710145,0.4224308579831457,0.41705583662125995,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.5507246376811594,0.15667044502488786,0.13971427522744914,3,2
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.4311594202898551,-0.03200914547013428,0.14269544691936234,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.4420289855072464,-0.006678982520960629,0.16095214975046615,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.7934782608695652,0.5346112886048988,0.6316789303279396,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.6521739130434783,0.2620320855614973,0.33674855192379916,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.4492753623188406,0.001380623661033102,0.12014284214923994,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.5362318840579711,0.1500745801857287,0.2570919164796971,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.5471014492753623,0.12409871026708642,0.2605722568362358,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.7862318840579711,0.57420771885786,0.4975280553076885,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.5144927536231884,0.01737605611350226,0.24432386822522256,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.5289855072463768,0.049234193650961905,0.24902660706600416,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.9166666666666666,0.8330703692016408,0.7900600366396731,2,2
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.6086956521739131,0.22612804403136194,0.3298273598105902,2,2
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.5688405797101449,0.13285457809694795,0.2532428293083738,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.7644927536231884,0.5276461295418641,0.5328552079713437,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.9782608695652174,0.9562529719448407,0.8870960251354952,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.7934782608695652,0.5873465533522191,0.5784094265155955,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.4782608695652174,-0.036781969009234576,0.008403576579352921,3,2
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.5144927536231884,0.035216778838628934,0.07360994447522769,3,2
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.532608695652174,0.05096492163343643,0.22602895084382432,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.572463768115942,0.1221090085718907,0.20203896762801327,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.5905797101449275,0.1531443466927338,0.20627482504912945,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.5253623188405797,0.011807149885208238,0.12003468295321645,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.5905797101449275,0.0,0.0,3,1
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.5072463768115942,0.07633249667798611,0.14850782410513302,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.5652173913043478,0.10141624613381083,0.11334842085075823,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.5543478260869565,0.020090058884655343,0.13536211266541612,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.7608695652173914,0.511504424778761,0.3938487013623144,3,2
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.6992753623188406,0.3918445364765849,0.3200886150687027,3,2
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.6014492753623188,0.19362549800796816,0.2513015317786807,3,2
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.9166666666666666,0.7394516499753735,0.6331648967506417,3,2
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.6884057971014492,0.378931393584175,0.42931322884010814,3,2
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.7028985507246377,0.42426863393538544,0.5598350441424128,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.8152173913043478,0.6085215263099344,0.7272565717366263,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.6666666666666666,0.3260788789213865,0.5110081983041156,3,3
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.5507246376811594,0.04343451282911292,0.19001803863939187,3,3
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.5036231884057971,0.024156085475379417,0.04709745506416624,3,2
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.8188405797101449,0.641614293876279,0.5955420977975451,3,2
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.8188405797101449,0.641614293876279,0.5955420977975451,3,2
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.5942028985507246,0.2546296296296297,0.5684406223293867,2,3
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.36231884057971014,-0.022911051212938027,0.14090256297632003,2,3
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.5108695652173914,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.5108695652173914,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.7391304347826086,0.4725834704602155,0.5620789493437953,3,2
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.6086956521739131,0.24814609292236298,0.4261894421755145,3,2
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.4927536231884058,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.5108695652173914,0.026136957658128544,0.22313377528192485,2,2
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.8586956521739131,0.714543332979739,0.7135514798110122,3,2
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.8586956521739131,0.714543332979739,0.7135514798110122,3,2
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.5362318840579711,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.6557971014492754,0.28337159724499833,0.31906207552724325,2,2
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.9166666666666666,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.9166666666666666,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.6086956521739131,0.2170212765957447,0.36418430224150733,2,2
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.7717391304347826,0.5413105413105413,0.5306180577982222,2,2
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.8659420289855072,0.7312348668280871,0.6986922017306776,3,2
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.8913043478260869,0.7763975155279502,0.7360109122896866,3,3
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.9202898550724637,0.8401179630312287,0.8234208138400332,3,3
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.9202898550724637,0.8401179630312287,0.8234208138400331,3,3
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.4855072463768116,0.03081260200801226,0.2909838824789769,3,3
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.5905797101449275,0.0,0.0,3,1
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.6557971014492754,0.3446965910226932,0.5159862516265016,3,3
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.9782608695652174,0.9525582994327623,0.8859664777125499,3,2
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.7717391304347826,0.543238415467059,0.5648391060202322,2,2
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.6557971014492754,0.3146889702038682,0.3781330851756802,2,2
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,1.0,1.0,0.9999999999999998,2,2
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.6811594202898551,0.38971807628524047,0.5226284701027614,2,3
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.7717391304347826,0.0,0.0,2,1
