scenario_mode,load_level,rb_budget_ratio,seed,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.572463768115942,0.14109393955377397,0.24884217350087404,3,2
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.4384057971014493,0.0,0.0,3,1
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.5760869565217391,0.21522309711286086,0.4148726829494013,2,3
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.7391304347826086,0.49264705882352944,0.5306090397839758,2,3
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.5253623188405797,0.058143169740543885,0.11420246605904637,3,2
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.5797101449275363,0.02055800293685753,0.1409516380689643,3,3
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.8152173913043478,0.626552053486151,0.659388711223644,3,2
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.8405797101449275,0.6618212197159565,0.6030272570684214,3,3
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.5,-0.012494018820777306,0.05544002054135646,3,2
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.6159420289855072,0.1310959310959311,0.23359728903137883,3,3
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.8369565217391305,0.0,0.0,3,1
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.8369565217391305,0.0,0.0,3,1
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.5905797101449275,0.17202930869703728,0.3824702836262387,2,3
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.6557971014492754,0.3016938318951742,0.4602091563554297,2,3
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.44565217391304346,-0.008213160156622962,0.1864427451766723,3,3
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.4782608695652174,0.06091394546571528,0.15770605371028426,3,3
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.4855072463768116,-0.015915806936596,0.11116829242298515,3,3
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.6086956521739131,0.22901039780663182,0.22773882820344132,3,3
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.4782608695652174,-0.018189270892042805,0.20374076522192616,3,2
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.4891304347826087,-0.025292443882390145,0.04946943914810093,3,2
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.6884057971014492,0.39147823411782795,0.5826589894472148,3,3
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.6992753623188406,0.4124345952600801,0.589614709241051,3,3
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.6485507246376812,0.29894207604483086,0.24018013962430937,3,2
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.5217391304347826,0.042220936957779134,0.1103747201282283,3,2
aligned,light,0.5,17,3,history_cost,Multi-feature k-means,0.6920289855072463,0.3600654664484451,0.48152732020717004,3,3
aligned,light,0.5,17,3,history_cost,LE-GRA MVP,0.6956521739130435,0.3929300864100549,0.46147270258030515,3,2
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.6666666666666666,0.34560074222978193,0.5350509163563224,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.6159420289855072,0.24492850874929029,0.43915383072527664,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.5108695652173914,0.07598452534470783,0.06327462509363707,3,2
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.5108695652173914,0.02572952620018824,0.029821975290406137,3,2
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.7318840579710145,0.4224308579831457,0.41705583662125995,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.5543478260869565,0.035239286120268276,0.19293425696226874,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.4311594202898551,-0.03200914547013428,0.14269544691936234,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.4891304347826087,-0.017571383746470062,0.07210512021625791,3,2
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.7934782608695652,0.5346112886048988,0.6316789303279396,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.7608695652173914,0.46246458923512745,0.5316183983215238,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.4492753623188406,0.001380623661033102,0.12014284214923994,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.5108695652173914,0.025525682602782703,0.0313525187095714,3,2
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.5471014492753623,0.12409871026708642,0.2605722568362358,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.5144927536231884,0.06288957583742968,0.15977260705127344,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.5144927536231884,0.01737605611350226,0.24432386822522256,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.4492753623188406,-0.09598202622916566,0.08111724977075772,3,2
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.9166666666666666,0.8330703692016408,0.7900600366396731,2,2
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.8405797101449275,0.6814103573115063,0.6576884190648897,2,2
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.5688405797101449,0.13285457809694795,0.2532428293083738,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.677536231884058,0.352693159059766,0.3275779651901748,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.9782608695652174,0.9562529719448407,0.8870960251354952,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.7753623188405797,0.5576237009461765,0.6877168979255955,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.4782608695652174,-0.036781969009234576,0.008403576579352921,3,2
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.5797101449275363,0.16481452496478327,0.2497431248056467,3,2
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.532608695652174,0.05096492163343643,0.22602895084382432,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.5434782608695652,0.05812252857375006,0.1643740519190469,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.5905797101449275,0.1531443466927338,0.20627482504912945,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.5362318840579711,0.05078187973561177,0.1739688731592965,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.5905797101449275,0.0,0.0,3,1
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.6195652173913043,0.2642429166243525,0.22154258704535673,3,3
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.5652173913043478,0.10141624613381083,0.11334842085075823,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.5471014492753623,0.11329289606250643,0.16216439171016753,3,2
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.7608695652173914,0.511504424778761,0.3938487013623144,3,2
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.4782608695652174,-0.04694167852062591,0.20312602722610684,3,2
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.6014492753623188,0.19362549800796816,0.2513015317786807,3,2
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.7028985507246377,0.3591210284872855,0.338365069056102,3,2
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.6884057971014492,0.378931393584175,0.42931322884010814,3,2
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.9782608695652174,0.9559504176198329,0.9135712858791615,3,2
aligned,light,0.5,23,3,history_cost,Multi-feature k-means,0.8152173913043478,0.6085215263099344,0.7272565717366263,3,3
aligned,light,0.5,23,3,history_cost,LE-GRA MVP,0.6231884057971014,0.2512130223822195,0.42009367002401626,3,2
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.5507246376811594,0.04343451282911292,0.19001803863939187,3,3
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.4855072463768116,-0.03797870649928495,0.015736205753039276,3,2
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.8188405797101449,0.641614293876279,0.5955420977975451,3,2
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.7898550724637681,0.5784928116277845,0.5767736143362568,3,2
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.5942028985507246,0.2546296296296297,0.5684406223293867,2,3
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.6557971014492754,0.24035230038243133,0.2699804025732092,2,2
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.5108695652173914,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.5108695652173914,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.7391304347826086,0.4725834704602155,0.5620789493437953,3,2
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.6086956521739131,0.24814609292236298,0.4261894421755145,3,2
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.4927536231884058,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.4927536231884058,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.8586956521739131,0.714543332979739,0.7135514798110122,3,2
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.7717391304347826,0.5112984822934233,0.5204596419596013,3,3
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.5362318840579711,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.5362318840579711,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.9166666666666666,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.9166666666666666,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.6086956521739131,0.2170212765957447,0.36418430224150733,2,2
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.6557971014492754,0.3118110236220472,0.4197574105649155,2,2
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.8659420289855072,0.7312348668280871,0.6986922017306776,3,2
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.9130434782608695,0.8184110970996216,0.8029407770225223,3,3
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.9202898550724637,0.8401179630312287,0.8234208138400332,3,3
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.8478260869565217,0.6937060719759023,0.6551691264507344,3,3
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.4855072463768116,0.03081260200801226,0.2909838824789769,3,3
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.5905797101449275,0.0,0.0,3,1
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.6557971014492754,0.3446965910226932,0.5159862516265016,3,3
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.6594202898550725,0.37360567869042444,0.6183425660309502,3,3
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.7717391304347826,0.543238415467059,0.5648391060202322,2,2
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.6557971014492754,0.31296509799811345,0.27036186911570453,2,2
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,1.0,1.0,0.9999999999999998,2,2
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,1.0,1.0,0.9999999999999998,2,2
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.7717391304347826,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.7717391304347826,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.7717391304347826,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.7717391304347826,0.0,0.0,2,1
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,1.0,1.0,1.0,2,2
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,1.0,1.0,1.0,2,2
aligned,medium,0.25,9,3,history_cost,Multi-feature k-means,0.6811594202898551,0.3380934212677822,0.616764232241805,3,3
aligned,medium,0.25,9,3,history_cost,LE-GRA MVP,0.7318840579710145,0.4381911206469715,0.663314774942847,3,3
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.6231884057971014,0.24431339511373207,0.40901141717519274,3,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.6231884057971014,0.24431339511373207,0.4090114171751927,3,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.7717391304347826,0.5446737194930344,0.5553500579538704,2,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.48188405797101447,0.0,0.0,2,1
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.4927536231884058,0.0,0.0,2,1
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.4927536231884058,0.0,0.0,2,1
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.8333333333333334,0.6609879839786382,0.665725436739322,3,3
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.6884057971014492,0.37500658275843907,0.45450853146165643,3,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.5,-0.013463892288861653,0.02609110951771466,3,3
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.4601449275362319,0.0,0.0,3,1
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.7717391304347826,0.0,0.0,2,1
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.7717391304347826,0.0,0.0,2,1
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.5072463768115942,0.03837679971307068,0.12055713551106072,2,3
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.4492753623188406,0.01627350748018571,0.1317507083238729,2,3
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.572463768115942,0.14109393955377397,0.24884217350087404,3,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.5181159420289855,0.03450815360336664,0.0600394300585158,3,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.7971014492753623,0.5441514776145815,0.6250750516070839,3,3
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.8152173913043478,0.6288366206096403,0.6435490883103727,3,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.6231884057971014,0.24171818037723883,0.32159813788225333,3,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.4927536231884058,-0.020763987953716978,0.039216995864909836,3,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.9166666666666666,0.8330703692016408,0.7900600366396731,2,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.8405797101449275,0.6807403123192597,0.5845567648250811,2,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.48188405797101447,-0.021745883814849314,0.08688121350492906,3,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.4782608695652174,-0.03759398496240592,0.07738209061501672,3,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.8405797101449275,0.0,0.0,2,1
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.8405797101449275,0.0,0.0,2,1
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.6014492753623188,0.207269309102303,0.4012134853388227,2,3
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.6231884057971014,0.2516815266697951,0.43318154609154014,2,3
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.7717391304347826,0.0,0.0,2,1
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.7717391304347826,0.0,0.0,2,1
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.5688405797101449,0.0,0.0,2,1
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.6086956521739131,0.21504187075367354,0.15920121477248295,2,2
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.4782608695652174,-0.018189270892042805,0.20374076522192616,3,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.5072463768115942,-0.0046571382688293415,0.0735091689693886,3,3
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.9021739130434783,0.8021662949984072,0.7185130905731028,3,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.6739130434782609,0.35982681305087366,0.550240575928965,3,3
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.6485507246376812,0.29894207604483086,0.24018013962430937,3,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.48188405797101447,0.0,0.0,3,1
aligned,medium,0.25,17,3,history_cost,Multi-feature k-means,0.7717391304347826,0.5427579678131902,0.464230753916021,2,2
aligned,medium,0.25,17,3,history_cost,LE-GRA MVP,0.7101449275362319,0.42074610420273884,0.4844382603276358,2,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.7717391304347826,0.5443873807776963,0.545228008856072,2,2
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.7101449275362319,0.4231673546162286,0.4699285490644171,2,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.6702898550724637,0.30611117250524916,0.25738704533861456,3,2
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.6413043478260869,0.28011381599747076,0.2468806078647383,3,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.48188405797101447,0.0,0.0,2,1
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.6557971014492754,0.31050804670242976,0.264999900401596,2,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.4311594202898551,-0.03200914547013428,0.14269544691936234,3,3
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.4782608695652174,0.037349222496730096,0.16409540588734212,3,3
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.4927536231884058,0.0,0.0,2,1
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.4927536231884058,0.0,0.0,2,1
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.4492753623188406,0.001380623661033102,0.12014284214923994,3,3
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.5072463768115942,0.09695424144733673,0.23281370295110626,3,3
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.5362318840579711,0.06967925422657605,0.27187871100119787,2,2
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.7101449275362319,0.41854953389161004,0.3352600232949113,2,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.5144927536231884,0.01737605611350226,0.24432386822522256,3,3
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.5217391304347826,0.03766707168894292,0.1515570638892045,3,3
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.6195652173913043,0.2574561853028595,0.4472132308901389,2,3
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.5543478260869565,0.12387736141220196,0.3471815664007573,2,3
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.7101449275362319,0.42089802769618123,0.35267252304960084,2,2
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.6557971014492754,0.31339687860060755,0.2855452671396827,2,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.782608695652174,0.5684578099755042,0.6312762357190597,3,3
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.822463768115942,0.6360994510816919,0.7421196211521819,3,3
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.5144927536231884,0.020498967106308677,0.07075915957388433,3,2
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.5398550724637681,0.0523412998810425,0.08137394314545231,3,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.5108695652173914,0.0,0.0,2,1
aligned,medium,0.25,23,3,history_cost,LE-GRA MVP,0.6557971014492754,0.3105080467024299,0.23485224436583732,2,2
aligned,medium,0.25,23,3,history_cost,Multi-feature k-means,0.5905797101449275,0.1531443466927338,0.20627482504912945,3,3
