quality_range_bucket,scenario_count,multi_group_count,multi_group_ratio,mean_teacher_group_count,mean_teacher_gain_vs_single,max_teacher_gain_vs_single
0,586,3,0.005119453924914676,1.0051194539249146,0.00029262492565041614,0.05715940214371462
1,200,6,0.03,1.03,0.0003570277358111701,0.011900924527038947
2,44,16,0.36363636363636365,1.3636363636363635,4.0371746350005693e-17,1.1102230246251565e-16
