method,utility,adr_kbps,rb_utilization,avg_switching,fairness,avg_groups
No grouping,0.7754341194256987,5989.583333333333,0.3799796810661893,0.2333333333333333,1.0,1.0
CQI k-means,0.8365160102512439,6438.541666666667,0.6773328782606761,0.20138888888888892,0.9488173998720114,2.75
Resource-cost,0.837810499917606,6673.090277777778,0.6354333282682139,0.22430555555555554,0.9550413924532529,2.3333333333333335
Teacher,0.8480607487029084,6201.736111111112,0.848735416321828,0.16597222222222222,0.9551445453671308,3.9166666666666665
Pairwise graph,0.8003958191480652,6133.159722222222,0.6384297099565297,0.21736111111111112,0.9465258473655777,2.6666666666666665
