quality_range_bucket,scenario_count,multi_group_count,multi_group_ratio,mean_teacher_group_count,mean_teacher_gain_vs_single,max_teacher_gain_vs_single
0,619,3,0.004846526655896607,1.0048465266558966,0.0002770245661246266,0.05715940214371462
1,201,6,0.029850746268656716,1.0298507462686568,0.00035525147841907416,0.011900924527038947
2,10,0,0.0,1.0,0.0,0.0
