serving_gnb,scenario_count,multi_group_count,multi_group_ratio,mean_teacher_group_count,mean_teacher_gain_vs_single,max_teacher_gain_vs_single
gnb_1,430,0,0.0,1.0,0.0,0.0
gnb_2,390,4,0.010256410256410256,1.0102564102564102,8.540177112501205e-19,1.1102230246251565e-16
