cqi_range_bucket,scenario_count,multi_group_count,multi_group_ratio,mean_teacher_group_count,mean_teacher_gain_vs_single,max_teacher_gain_vs_single
0,156,0,0.0,1.0,0.0,0.0
1,262,0,0.0,1.0,0.0,0.0
2,142,0,0.0,1.0,-7.818472004402511e-19,1.1102230246251565e-16
3+,260,4,0.015384615384615385,1.0153846153846153,1.708035422500241e-18,1.1102230246251565e-16
