method,utility,adr_kbps,rb_utilization,avg_switching,fairness,avg_groups
No grouping,0.73025795702616,5202.083333333333,0.44813280200939126,0.22013888888888888,1.0,1.0
CQI k-means,0.8067162392636519,6019.965277777778,0.7548209903157582,0.19652777777777777,0.9192747081388909,2.7916666666666665
Resource-cost,0.8129188967058242,6176.736111111112,0.6649770748380389,0.2020833333333333,0.9274260074608952,2.1666666666666665
Teacher,0.8221447768076114,5814.583333333333,0.854996006088939,0.16041666666666668,0.9254798360103159,3.5
LE-GRA,0.7903618175396332,5617.534722222222,0.8300007247298122,0.18055555555555558,0.9141098534637263,3.375
