ue_id,snapshot_count,cqi_min,cqi_max,previous_quality_min,previous_quality_max,distance_min_m,distance_max_m,cost_min,cost_max
0,40,12.0,15.0,1.0,2.0,95.41,109.59,3.166667,3.333333
1,40,13.0,15.0,1.0,2.0,100.11,118.25,3.166667,3.333333
2,40,14.0,15.0,1.0,2.0,110.27,135.53,3.166667,3.166667
3,40,9.0,15.0,1.0,2.0,139.07,155.82,3.166667,4.166667
4,40,11.0,13.0,1.0,2.0,158.56,163.98,3.333333,3.500000
