method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,selected_epoch,selection_validation_loss,pair_sampling,train_positive_pairs,train_negative_pairs,train_active_negative_ratio,train_mean_negative_distance,scenario_mode,load_level,rb_budget_ratio,kmax,seed,feature_mode,train_scenarios,test_scenarios
No grouping,0.8631501669362481,6650.0,22.581977323979388,14.777777777777779,1.0,0.0,4.5,0.6555555555555556,0.2027777777777778,1.0,1.0,1,0.1936228423034192,random_balanced,44.36363636363637,21.636363636363637,1.0,0.672614368492905,corridor_general,focused,0.42,3,13,history_cost_quality,12,6
CQI k-means,0.8644602766314518,6248.611111111112,19.715222830909102,13.885802469135802,1.0,0.0,4.263888888888888,0.7166666666666667,0.16666666666666666,0.9951020748504117,1.3333333333333333,1,0.1936228423034192,random_balanced,44.36363636363637,21.636363636363637,1.0,0.672614368492905,corridor_general,focused,0.42,3,13,history_cost_quality,12,6
Resource-cost k-means,0.8651694802452949,6531.944444444445,19.353419819106094,14.515432098765432,1.0,0.0,4.430555555555555,0.7777777777777778,0.18888888888888888,0.9975000247155243,1.3333333333333333,1,0.1936228423034192,random_balanced,44.36363636363637,21.636363636363637,1.0,0.672614368492905,corridor_general,focused,0.42,3,13,history_cost_quality,12,6
Multi-feature k-means,0.8692081068633885,6295.833333333333,18.070170660856935,13.99074074074074,1.0,0.0,4.291666666666667,0.8055555555555555,0.16111111111111112,0.9946817887238644,1.5,1,0.1936228423034192,random_balanced,44.36363636363637,21.636363636363637,1.0,0.672614368492905,corridor_general,focused,0.42,3,13,history_cost_quality,12,6
Offline teacher,0.8791568908439592,6201.38888888889,14.81484276685426,13.780864197530866,1.0,0.0,4.236111111111111,0.9333333333333335,0.13333333333333333,0.988855800675168,2.0,1,0.1936228423034192,random_balanced,44.36363636363637,21.636363636363637,1.0,0.672614368492905,corridor_general,focused,0.42,3,13,history_cost_quality,12,6
LE-GRA MVP,0.8731974726265944,6225.0,15.327517788724686,13.833333333333334,1.0,0.0,4.25,0.9111111111111111,0.14722222222222223,0.9897041215910529,1.8333333333333333,1,0.1936228423034192,random_balanced,44.36363636363637,21.636363636363637,1.0,0.672614368492905,corridor_general,focused,0.42,3,13,history_cost_quality,12,6
