ue_id,snapshot_count,cqi_min,cqi_max,previous_quality_min,previous_quality_max,distance_min_m,distance_max_m,cost_min,cost_max
0,60,14.0,15.0,1.0,1.0,86.65,97.69,3.166667,3.166667
1,60,15.0,15.0,1.0,1.0,86.65,91.54,3.166667,3.166667
15,60,7.0,15.0,1.0,1.0,96.65,111.40,3.166667,5.500000
2,60,15.0,15.0,1.0,1.0,86.65,97.97,3.166667,3.166667
3,60,15.0,15.0,1.0,1.0,86.85,111.13,3.166667,3.166667
4,60,13.0,15.0,1.0,1.0,93.35,105.97,3.166667,3.333333
5,60,13.0,15.0,1.0,2.0,93.35,98.78,3.166667,3.166667
