scenario_id,timestamp_s,ue_id,user_index,cqi_now,previous_quality,distance_m,mean_resource_cost
simu5g_00000733,38.0,0,0,15,1,87.55658563327853,3.166667
simu5g_00000733,38.0,1,1,15,1,91.53914524786903,3.166667
simu5g_00000733,38.0,15,2,14,1,96.85942188375047,3.166667
simu5g_00000733,38.0,2,3,15,1,97.96684673604544,3.166667
simu5g_00000733,38.0,3,4,15,1,111.13224668675198,3.166667
simu5g_00000733,38.0,4,5,15,1,93.6512652543537,3.166667
simu5g_00000733,38.0,5,6,15,2,97.66605958313549,3.166667
simu5g_00000735,38.1,0,0,15,1,87.42141896191401,3.166667
simu5g_00000735,38.1,1,1,15,1,91.22863003682183,3.166667
simu5g_00000735,38.1,15,2,14,1,96.79615053538832,3.166667
simu5g_00000735,38.1,2,3,15,1,97.5134840974833,3.166667
simu5g_00000735,38.1,3,4,15,1,110.38980025972091,3.166667
simu5g_00000735,38.1,4,5,15,1,93.57782913352601,3.166667
simu5g_00000735,38.1,5,6,15,1,97.34911479048806,3.166667
simu5g_00000737,38.2,0,0,15,1,87.2973231460691,3.166667
simu5g_00000737,38.2,1,1,15,1,90.92705330685226,3.166667
simu5g_00000737,38.2,15,2,14,1,96.74433230194334,3.166667
simu5g_00000737,38.2,2,3,15,1,97.06786832487731,3.166667
simu5g_00000737,38.2,3,4,15,1,109.65741380291051,3.166667
simu5g_00000737,38.2,4,5,15,1,93.5146679982717,3.166667
simu5g_00000737,38.2,5,6,15,1,97.04336842307366,3.166667
simu5g_00000739,38.3,0,0,15,1,87.18412938557097,3.166667
simu5g_00000739,38.3,1,1,15,1,90.6365520990332,3.166667
simu5g_00000739,38.3,15,2,15,1,96.70378411519766,3.166667
simu5g_00000739,38.3,2,3,15,1,96.62938008984963,3.166667
simu5g_00000739,38.3,3,4,15,1,108.93834642180359,3.166667
simu5g_00000739,38.3,4,5,13,1,93.46189789916615,3.166667
simu5g_00000739,38.3,5,6,15,1,96.75127525683651,3.166667
simu5g_00000741,38.4,0,0,15,1,87.08158391762241,3.166667
simu5g_00000741,38.4,1,1,15,1,90.35540066245566,3.166667
simu5g_00000741,38.4,15,2,15,1,96.67446836598108,3.166667
simu5g_00000741,38.4,2,3,15,1,96.20195575333159,3.166667
simu5g_00000741,38.4,3,4,15,1,108.23151102078445,3.166667
simu5g_00000741,38.4,4,5,14,1,93.4191173655551,3.166667
simu5g_00000741,38.4,5,6,15,1,96.47097558583454,3.166667
simu5g_00000743,38.5,0,0,15,1,86.98995824892869,3.166667
simu5g_00000743,38.5,1,1,15,1,90.08286763718125,3.166667
simu5g_00000743,38.5,15,2,15,1,96.65656283698578,3.166667
simu5g_00000743,38.5,2,3,15,1,95.7822047453131,3.166667
simu5g_00000743,38.5,3,4,15,1,107.53706349051593,3.166667
simu5g_00000743,38.5,4,5,14,1,93.38663250218681,3.166667
simu5g_00000743,38.5,5,6,15,1,96.20217584818823,3.166667
simu5g_00000745,38.6,0,0,15,1,86.90909756933782,3.166667
simu5g_00000745,38.6,1,1,15,1,89.82124069194676,3.166667
simu5g_00000745,38.6,15,2,15,1,96.65003430329422,3.166667
simu5g_00000745,38.6,2,3,15,1,95.37025601932046,3.166667
simu5g_00000745,38.6,3,4,15,1,106.85420830544045,3.166667
simu5g_00000745,38.6,4,5,14,1,93.36441220983934,3.166667
simu5g_00000745,38.6,5,6,15,1,95.94688572053346,3.166667
