quality_mean_bucket,scenario_count,multi_group_count,multi_group_ratio,mean_teacher_group_count,mean_teacher_gain_vs_single,max_teacher_gain_vs_single
"high[3,4)",275,0,0.0,1.0,0.0,0.0
low(<2),315,5,0.015873015873015872,1.0158730158730158,0.0004432614596333394,0.038608503576809006
"mid[2,3)",230,10,0.043478260869565216,1.0434782608695652,0.009988874536118677,0.44027234131265747
