serving_gnb,scenario_count,multi_group_count,multi_group_ratio,mean_teacher_group_count,mean_teacher_gain_vs_single,max_teacher_gain_vs_single
gnb_1,430,0,0.0,1.0,2.581914010756178e-19,1.1102230246251565e-16
gnb_2,390,0,0.0,1.0,5.693451408334136e-19,1.1102230246251565e-16
