method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,selected_epoch,selection_validation_loss,pair_sampling,train_positive_pairs,train_negative_pairs,train_active_negative_ratio,train_mean_negative_distance,dataset,feature_mode,max_groups,rb_budget_ratio,focus_ue_ids,train_window_end,test_window_start,test_window_end,seed
No grouping,0.6071841780840184,3000.0,20.833333333333332,11.904761904761905,1.0,0.0,3.0,0.5714285714285714,0.28,1.0,1.0,12,0.0017379734822925445,random_balanced,2.2170767004341534,0.017366136034732273,0.004341534008683068,0.14689835795098452,p3_6g_temporal_focus,history_cost_quality,3,0.28,0|1|2|3|4,18.9,19.0,19.2,9
CQI k-means,0.6190851026110573,4750.0,18.849206349206348,18.849206349206348,1.0,0.0,3.4,1.0,0.36000000000000004,0.8365001390304941,2.0,12,0.0017379734822925445,random_balanced,2.2170767004341534,0.017366136034732273,0.004341534008683068,0.14689835795098452,p3_6g_temporal_focus,history_cost_quality,3,0.28,0|1|2|3|4,18.9,19.0,19.2,9
Resource-cost k-means,0.6190851026110573,4750.0,18.849206349206348,18.849206349206348,1.0,0.0,3.4,1.0,0.36000000000000004,0.8365001390304941,2.0,12,0.0017379734822925445,random_balanced,2.2170767004341534,0.017366136034732273,0.004341534008683068,0.14689835795098452,p3_6g_temporal_focus,history_cost_quality,3,0.28,0|1|2|3|4,18.9,19.0,19.2,9
Multi-feature k-means,0.6190851026110573,4750.0,18.849206349206348,18.849206349206348,1.0,0.0,3.4,1.0,0.36000000000000004,0.8365001390304941,2.0,12,0.0017379734822925445,random_balanced,2.2170767004341534,0.017366136034732273,0.004341534008683068,0.14689835795098452,p3_6g_temporal_focus,history_cost_quality,3,0.28,0|1|2|3|4,18.9,19.0,19.2,9
Offline teacher,0.6190851026110573,4750.0,18.849206349206348,18.849206349206348,1.0,0.0,3.4,1.0,0.36000000000000004,0.8365001390304941,2.0,12,0.0017379734822925445,random_balanced,2.2170767004341534,0.017366136034732273,0.004341534008683068,0.14689835795098452,p3_6g_temporal_focus,history_cost_quality,3,0.28,0|1|2|3|4,18.9,19.0,19.2,9
LE-GRA MVP,0.6190851026110573,4750.0,18.849206349206348,18.849206349206348,1.0,0.0,3.4,1.0,0.36000000000000004,0.8365001390304941,2.0,12,0.0017379734822925445,random_balanced,2.2170767004341534,0.017366136034732273,0.004341534008683068,0.14689835795098452,p3_6g_temporal_focus,history_cost_quality,3,0.28,0|1|2|3|4,18.9,19.0,19.2,9
