load_level,seed,feature_a,feature_b,pearson_r
light,17,cost_q1,cost_q4,0.9312930728650924
light,17,cost_q1,cost_q5,0.9015132862594349
light,17,cost_q2,cost_q3,0.9869008134285753
light,17,cost_q2,cost_q4,0.9596810847339211
light,17,cost_q2,cost_q5,0.9090067880618081
light,17,cost_q3,cost_q4,0.9471098551347841
light,17,cost_q3,cost_q5,0.8771740769007277
light,17,cost_q4,cost_q5,0.9696634849450474
light,23,cqi_t-4,cqi_t-3,0.9766917483340463
light,23,cqi_t-4,cqi_t-2,0.9752392132763645
light,23,cqi_t-4,cqi_t-1,0.9743403320023899
light,23,cqi_t-4,cqi_now,0.9690077038813231
light,23,cqi_t-4,cost_q0,-0.46504182374018743
light,23,cqi_t-4,cost_q1,-0.7282620861119091
light,23,cqi_t-4,cost_q2,-0.7014535960477184
light,23,cqi_t-4,cost_q3,-0.6425333848917141
light,23,cqi_t-4,cost_q4,-0.7402476966489631
light,23,cqi_t-4,cost_q5,-0.7867552765213238
light,23,cqi_t-3,cqi_t-2,0.9781755337281632
light,23,cqi_t-3,cqi_t-1,0.9753472764803939
light,23,cqi_t-3,cqi_now,0.9714386104731556
light,23,cqi_t-3,cost_q0,-0.4611911946769129
light,23,cqi_t-3,cost_q1,-0.7241018132350993
light,23,cqi_t-3,cost_q2,-0.6974884975784174
light,23,cqi_t-3,cost_q3,-0.6395614655092238
light,23,cqi_t-3,cost_q4,-0.7374400371766302
light,23,cqi_t-3,cost_q5,-0.7836946082599767
light,23,cqi_t-2,cqi_t-1,0.9774478659747713
light,23,cqi_t-2,cqi_now,0.9759376062216126
light,23,cqi_t-2,cost_q0,-0.4667980425027545
light,23,cqi_t-2,cost_q1,-0.7310539491284144
light,23,cqi_t-2,cost_q2,-0.7044401367941228
light,23,cqi_t-2,cost_q3,-0.6453808846165753
light,23,cqi_t-2,cost_q4,-0.7422534720332176
light,23,cqi_t-2,cost_q5,-0.786765126661475
light,23,cqi_t-1,cqi_now,0.9794509117361827
light,23,cqi_t-1,cost_q0,-0.46582485291456094
light,23,cqi_t-1,cost_q1,-0.7322111297734635
light,23,cqi_t-1,cost_q2,-0.7038904976567958
light,23,cqi_t-1,cost_q3,-0.6456550405608903
light,23,cqi_t-1,cost_q4,-0.7439013416204768
light,23,cqi_t-1,cost_q5,-0.7894875423417246
light,23,cqi_now,cost_q0,-0.47650687796027263
light,23,cqi_now,cost_q1,-0.7413150147416048
light,23,cqi_now,cost_q2,-0.7145779967950447
light,23,cqi_now,cost_q3,-0.6562674588826779
light,23,cqi_now,cost_q4,-0.7558620189295121
light,23,cqi_now,cost_q5,-0.7983109260003453
light,23,cost_q0,cost_q1,0.8501680585418102
light,23,cost_q0,cost_q2,0.8758543824495298
light,23,cost_q0,cost_q3,0.8837817426080296
light,23,cost_q0,cost_q4,0.8495875797026886
light,23,cost_q0,cost_q5,0.7554129015906064
light,23,cost_q1,cost_q2,0.9750101781123801
light,23,cost_q1,cost_q3,0.9468413902573669
light,23,cost_q1,cost_q4,0.9420309791218907
light,23,cost_q1,cost_q5,0.9157799861394599
light,23,cost_q2,cost_q3,0.9871845316825724
light,23,cost_q2,cost_q4,0.9492321694419743
light,23,cost_q2,cost_q5,0.9086477567929343
light,23,cost_q3,cost_q4,0.9357104060642706
light,23,cost_q3,cost_q5,0.8767471446257346
light,23,cost_q4,cost_q5,0.9739994561156738
medium,9,cqi_t-4,cqi_t-3,0.980691340733079
medium,9,cqi_t-4,cqi_t-2,0.979915176671839
medium,9,cqi_t-4,cqi_t-1,0.9767484675020198
medium,9,cqi_t-4,cqi_now,0.9708085312044776
medium,9,cqi_t-4,cost_q0,-0.5030886276262125
medium,9,cqi_t-4,cost_q1,-0.77317745547498
medium,9,cqi_t-4,cost_q2,-0.7358323602191051
medium,9,cqi_t-4,cost_q3,-0.6816061756435808
medium,9,cqi_t-4,cost_q4,-0.7618738472186984
medium,9,cqi_t-4,cost_q5,-0.8037699506810267
medium,9,cqi_t-3,cqi_t-2,0.9802351849835815
medium,9,cqi_t-3,cqi_t-1,0.9784482017988474
medium,9,cqi_t-3,cqi_now,0.9742547293090179
medium,9,cqi_t-3,cost_q0,-0.5003196591843905
medium,9,cqi_t-3,cost_q1,-0.7714810664824567
medium,9,cqi_t-3,cost_q2,-0.7343803895868855
medium,9,cqi_t-3,cost_q3,-0.6796582429555676
medium,9,cqi_t-3,cost_q4,-0.7614942769628584
