load_level,seed,split,scenario_index,teacher_k,group_index,group_size
light,17,train,9,3,2,8
light,17,train,10,3,0,1
light,17,train,10,3,1,9
light,17,train,10,3,2,14
light,17,train,11,3,0,17
light,17,train,11,3,1,5
light,17,train,11,3,2,2
light,17,train,12,2,0,17
light,17,train,12,2,1,7
light,17,train,13,2,0,4
light,17,train,13,2,1,20
light,17,train,14,3,0,4
light,17,train,14,3,1,1
light,17,train,14,3,2,19
light,17,train,15,3,0,14
light,17,train,15,3,1,4
light,17,train,15,3,2,6
light,17,train,16,3,0,8
light,17,train,16,3,1,9
light,17,train,16,3,2,7
light,17,train,17,3,0,1
light,17,train,17,3,1,18
light,17,train,17,3,2,5
light,17,train,18,3,0,13
light,17,train,18,3,1,4
light,17,train,18,3,2,7
light,17,train,19,3,0,2
light,17,train,19,3,1,15
light,17,train,19,3,2,7
light,17,train,20,3,0,17
light,17,train,20,3,1,5
light,17,train,20,3,2,2
light,17,train,21,3,0,15
light,17,train,21,3,1,3
light,17,train,21,3,2,6
light,17,train,22,3,0,20
light,17,train,22,3,1,3
light,17,train,22,3,2,1
light,17,train,23,3,0,7
light,17,train,23,3,1,4
light,17,train,23,3,2,13
light,17,train,24,3,0,14
light,17,train,24,3,1,7
light,17,train,24,3,2,3
light,17,train,25,3,0,17
light,17,train,25,3,1,3
light,17,train,25,3,2,4
light,17,train,26,2,0,17
light,17,train,26,2,1,7
light,17,train,27,3,0,11
light,17,train,27,3,1,12
light,17,train,27,3,2,1
light,17,train,28,2,0,22
light,17,train,28,2,1,2
light,17,train,29,3,0,7
light,17,train,29,3,1,13
light,17,train,29,3,2,4
light,17,train,30,3,0,21
light,17,train,30,3,1,1
light,17,train,30,3,2,2
light,17,train,31,3,0,9
light,17,train,31,3,1,4
light,17,train,31,3,2,11
light,17,train,32,3,0,16
light,17,train,32,3,1,3
light,17,train,32,3,2,5
light,17,train,33,3,0,7
light,17,train,33,3,1,5
light,17,train,33,3,2,12
light,17,train,34,3,0,15
light,17,train,34,3,1,8
light,17,train,34,3,2,1
light,17,train,35,3,0,14
light,17,train,35,3,1,5
light,17,train,35,3,2,5
light,17,train,36,3,0,12
light,17,train,36,3,1,4
light,17,train,36,3,2,8
light,17,train,37,2,0,15
light,17,train,37,2,1,9
light,17,train,38,3,0,6
light,17,train,38,3,1,7
light,17,train,38,3,2,11
light,17,train,39,3,0,4
light,17,train,39,3,1,3
light,17,train,39,3,2,17
light,17,test,0,2,0,17
light,17,test,0,2,1,7
light,17,test,1,3,0,10
light,17,test,1,3,1,4
light,17,test,1,3,2,10
light,17,test,2,3,0,10
light,17,test,2,3,1,7
light,17,test,2,3,2,7
light,17,test,3,3,0,5
light,17,test,3,3,1,16
light,17,test,3,3,2,3
light,17,test,4,3,0,7
light,17,test,4,3,1,6
light,17,test,4,3,2,11
light,17,test,5,3,0,1
light,17,test,5,3,1,15
light,17,test,5,3,2,8
light,17,test,6,3,0,11
light,17,test,6,3,1,3
light,17,test,6,3,2,10
light,17,test,7,3,0,4
light,17,test,7,3,1,17
light,17,test,7,3,2,3
light,17,test,8,3,0,8
light,17,test,8,3,1,14
light,17,test,8,3,2,2
light,17,test,9,2,0,18
light,17,test,9,2,1,6
light,17,test,10,3,0,7
light,17,test,10,3,1,6
light,17,test,10,3,2,11
light,17,test,11,3,0,11
light,17,test,11,3,1,9
light,17,test,11,3,2,4
light,17,test,12,3,0,4
light,17,test,12,3,1,10
light,17,test,12,3,2,10
light,17,test,13,3,0,17
light,17,test,13,3,1,4
light,17,test,13,3,2,3
light,17,test,14,3,0,3
light,17,test,14,3,1,12
light,17,test,14,3,2,9
light,17,test,15,3,0,2
light,17,test,15,3,1,14
light,17,test,15,3,2,8
light,17,test,16,3,0,14
light,17,test,16,3,1,7
light,17,test,16,3,2,3
light,17,test,17,3,0,11
light,17,test,17,3,1,11
light,17,test,17,3,2,2
light,17,test,18,3,0,3
light,17,test,18,3,1,1
light,17,test,18,3,2,20
light,17,test,19,3,0,17
light,17,test,19,3,1,4
light,17,test,19,3,2,3
light,23,train,0,2,0,17
light,23,train,0,2,1,7
light,23,train,1,3,0,14
light,23,train,1,3,1,7
light,23,train,1,3,2,3
light,23,train,2,3,0,4
light,23,train,2,3,1,18
light,23,train,2,3,2,2
light,23,train,3,3,0,7
light,23,train,3,3,1,7
light,23,train,3,3,2,10
light,23,train,4,2,0,18
light,23,train,4,2,1,6
light,23,train,5,3,0,8
light,23,train,5,3,1,9
light,23,train,5,3,2,7
light,23,train,6,3,0,13
light,23,train,6,3,1,2
light,23,train,6,3,2,9
light,23,train,7,3,0,8
light,23,train,7,3,1,8
light,23,train,7,3,2,8
light,23,train,8,2,0,8
light,23,train,8,2,1,16
light,23,train,9,3,0,12
light,23,train,9,3,1,10
light,23,train,9,3,2,2
light,23,train,10,3,0,10
light,23,train,10,3,1,8
light,23,train,10,3,2,6
light,23,train,11,3,0,18
light,23,train,11,3,1,2
light,23,train,11,3,2,4
light,23,train,12,3,0,3
light,23,train,12,3,1,13
light,23,train,12,3,2,8
light,23,train,13,3,0,14
light,23,train,13,3,1,6
light,23,train,13,3,2,4
light,23,train,14,3,0,16
light,23,train,14,3,1,4
light,23,train,14,3,2,4
light,23,train,15,3,0,3
light,23,train,15,3,1,19
light,23,train,15,3,2,2
light,23,train,16,3,0,12
light,23,train,16,3,1,2
light,23,train,16,3,2,10
light,23,train,17,3,0,2
light,23,train,17,3,1,17
light,23,train,17,3,2,5
light,23,train,18,3,0,7
light,23,train,18,3,1,12
light,23,train,18,3,2,5
light,23,train,19,3,0,19
light,23,train,19,3,1,4
light,23,train,19,3,2,1
light,23,train,20,3,0,8
light,23,train,20,3,1,13
light,23,train,20,3,2,3
light,23,train,21,3,0,12
light,23,train,21,3,1,5
light,23,train,21,3,2,7
light,23,train,22,3,0,1
light,23,train,22,3,1,11
light,23,train,22,3,2,12
light,23,train,23,3,0,10
light,23,train,23,3,1,10
light,23,train,23,3,2,4
light,23,train,24,3,0,17
light,23,train,24,3,1,5
light,23,train,24,3,2,2
light,23,train,25,3,0,2
light,23,train,25,3,1,20
light,23,train,25,3,2,2
light,23,train,26,3,0,8
light,23,train,26,3,1,5
light,23,train,26,3,2,11
light,23,train,27,3,0,7
light,23,train,27,3,1,7
light,23,train,27,3,2,10
light,23,train,28,3,0,2
light,23,train,28,3,1,16
light,23,train,28,3,2,6
light,23,train,29,3,0,15
light,23,train,29,3,1,5
light,23,train,29,3,2,4
light,23,train,30,3,0,22
light,23,train,30,3,1,1
light,23,train,30,3,2,1
light,23,train,31,3,0,22
light,23,train,31,3,1,1
light,23,train,31,3,2,1
light,23,train,32,2,0,19
light,23,train,32,2,1,5
light,23,train,33,3,0,1
light,23,train,33,3,1,7
light,23,train,33,3,2,16
light,23,train,34,3,0,9
light,23,train,34,3,1,3
light,23,train,34,3,2,12
light,23,train,35,3,0,12
light,23,train,35,3,1,8
light,23,train,35,3,2,4
light,23,train,36,3,0,16
light,23,train,36,3,1,6
light,23,train,36,3,2,2
light,23,train,37,3,0,14
light,23,train,37,3,1,6
light,23,train,37,3,2,4
light,23,train,38,2,0,19
light,23,train,38,2,1,5
light,23,train,39,3,0,2
