timestamp_s,sumo_vehicle_id,ue_module_path,x_m,y_m,speed_mps
0.2,0,Highway.car[0],226.65,415.143518559514,0.0648144048613729
0.3,0,Highway.car[0],226.65,415.131036143339,0.124824161753235
0.4,0,Highway.car[0],226.65,415.111599522891,0.194366204479491
0.5,0,Highway.car[0],226.65,415.085510882715,0.260886401760197
0.6,0,Highway.car[0],226.65,415.053049912793,0.324609699216143
0.7,0,Highway.car[0],226.65,415.015082998022,0.379669147711171
0.8,0,Highway.car[0],226.65,414.972618849962,0.4246414806015
0.9,0,Highway.car[0],226.65,414.926840079019,0.457787709429914
1,0,Highway.car[0],226.65,414.874528168049,0.523119109699778
1.1,0,Highway.car[0],226.65,414.818607071729,0.559210963197737
1.2,0,Highway.car[0],226.65,414.759197716172,0.594093555573894
1.3,0,Highway.car[0],226.65,414.695617414825,0.6358030134657
1.4,0,Highway.car[0],226.65,414.625376621862,0.702407929627325
1.5,0,Highway.car[0],226.65,414.553402151402,0.719744704600989
1.6,0,Highway.car[0],226.65,414.480479801509,0.729223498930556
1.7,0,Highway.car[0],226.65,414.400761984709,0.797178167997028
1.7,15,Highway.car[1],223.35,34.8564178578785,0.0641785787847126
1.7,31,Highway.car[2],33.8599877568126,226.65,0.0998775681257248
1.8,0,Highway.car[0],226.65,414.320220872965,0.805411117440422
1.8,15,Highway.car[1],223.35,34.8688640547216,0.124461968431394
1.8,31,Highway.car[2],33.8793788018645,226.65,0.193910450519122
1.9,0,Highway.car[0],226.65,414.233130897631,0.870899753346208
1.9,15,Highway.car[1],223.35,34.8880339531531,0.1916989843152
1.9,31,Highway.car[2],33.9069355480079,226.65,0.275567461434592
2,0,Highway.car[0],226.65,414.142324026484,0.908068711466488
2,15,Highway.car[1],223.35,34.9127025401808,0.246685870276423
2,31,Highway.car[2],33.9437917486277,226.65,0.368562006198048
2.1,0,Highway.car[0],226.65,414.045886663534,0.964373629503517
2.1,15,Highway.car[1],223.35,34.9419002694219,0.291977292411211
2.1,31,Highway.car[2],33.989713623403,226.65,0.459218747753034
2.2,0,Highway.car[0],226.65,413.946459586648,0.994270768855565
2.2,15,Highway.car[1],223.35,34.9749080896688,0.330078202469275
2.2,31,Highway.car[2],34.0429196871183,226.65,0.532060637152022
2.3,0,Highway.car[0],226.65,413.844408664686,1.0205092196249
2.3,15,Highway.car[1],223.35,35.0146128856902,0.39704796021369
2.3,31,Highway.car[2],34.1048029524396,226.65,0.618832653213585
2.4,0,Highway.car[0],226.65,413.74017571151,1.04232953175493
2.4,15,Highway.car[1],223.35,35.0596453241752,0.45032438485034
2.4,31,Highway.car[2],34.1761417148244,226.65,0.713387623848336
2.5,0,Highway.car[0],226.65,413.629376905598,1.10798805912547
2.5,15,Highway.car[1],223.35,35.1089917633163,0.493464391410612
2.5,31,Highway.car[2],34.2529708611852,226.65,0.768291463607786
2.6,0,Highway.car[0],226.65,413.516397318042,1.12979587555407
2.6,15,Highway.car[1],223.35,35.1617949770169,0.528032137006474
2.6,31,Highway.car[2],34.3339448397464,226.65,0.809739785611932
2.7,0,Highway.car[0],226.65,413.400607483219,1.15789834822771
2.7,15,Highway.car[1],223.35,35.22008070938,0.582857323630735
2.7,31,Highway.car[2],34.4228525316024,226.65,0.889076918559714
2.8,0,Highway.car[0],226.65,413.280449067539,1.20158415680668
2.8,15,Highway.car[1],223.35,35.2798362776208,0.597555682407743
2.8,31,Highway.car[2],34.5190162146682,226.65,0.961636830658243
2.9,0,Highway.car[0],226.65,413.156483928076,1.23965139463018
2.9,15,Highway.car[1],223.35,35.34505211196,0.65215834339231
2.9,31,Highway.car[2],34.6191269250327,226.65,1.00110710364446
3,0,Highway.car[0],226.65,413.030362262039,1.26121666037068
3,15,Highway.car[1],223.35,35.4160090072012,0.709568952411997
3,31,Highway.car[2],34.7258806599434,226.65,1.06753734910773
3.1,0,Highway.car[0],226.65,412.900322031694,1.30040230345107
3.1,15,Highway.car[1],223.35,35.4904128258528,0.744038186516498
3.1,31,Highway.car[2],34.8395018064579,226.65,1.13621146514459
3.2,0,Highway.car[0],226.65,412.765947972388,1.34374059305234
3.2,15,Highway.car[1],223.35,35.5684804865887,0.780676607358621
3.2,31,Highway.car[2],34.9578936323359,226.65,1.18391825877974
3.3,0,Highway.car[0],226.65,412.627257246618,1.38690725770021
3.3,15,Highway.car[1],223.35,35.652163260211,0.836827736222769
3.3,31,Highway.car[2],35.0824478488424,226.65,1.24554216506571
3.4,0,Highway.car[0],226.65,412.487400973382,1.39856273236275
3.4,15,Highway.car[1],223.35,35.73753861533,0.853753551190372
3.4,31,Highway.car[2],35.2138383283942,226.65,1.31390479551774
3.5,0,Highway.car[0],226.65,412.342201706169,1.45199267213359
3.5,15,Highway.car[1],223.35,35.825827659401,0.882890440709775
3.5,31,Highway.car[2],35.3527286039901,226.65,1.38890275595855
3.6,0,Highway.car[0],226.65,412.194298575825,1.47903130343706
3.6,15,Highway.car[1],223.35,35.9207795267293,0.949518673282933
3.6,31,Highway.car[2],35.4970597169699,226.65,1.44331112979824
3.7,0,Highway.car[0],226.65,412.042309823517,1.51988752307986
