ratio_tag,rb_budget_ratio,ue_ids,serving_gnb,positive_snapshot_count,first_time_s,last_time_s,max_teacher_gain_vs_single,max_cqi_range,max_resource_cost_range,new_positive_family_vs_rb_032
rb_032,0.32,0|1|2|3,gnb_2,24,14.0,17.7,0.038608503576809006,7.0,1.6666666666666665,0
rb_028,0.28,1|2|3|4|5|6,gnb_2,4,27.3,27.6,0.05303698023995784,6.0,1.1666666666666665,1
rb_028,0.28,0|1|2|3,gnb_2,3,16.2,16.4,0.038608503576809006,7.0,1.6666666666666665,0
rb_028,0.28,3|31|4|5|6,gnb_2,2,31.1,31.2,0.011900924527039058,5.0,0.8333333333333335,1
rb_024,0.24,1|2|3|4|5,gnb_2,2,27.0,27.1,0.01190092452703917,5.0,0.8333333333333335,1
rb_024,0.24,1|2|3|4|5|6,gnb_2,1,27.3,27.3,0.023566426033575172,6.0,1.1666666666666665,1
