method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,selected_epoch,selection_validation_loss,pair_sampling,train_positive_pairs,train_negative_pairs,train_active_negative_ratio,train_mean_negative_distance,dataset,feature_mode,max_groups,rb_budget_ratio,focus_ue_ids,train_window_end,test_window_start,test_window_end,seed
No grouping,0.5471841780840183,3000.0,23.333333333333332,16.666666666666668,1.0,0.0,3.0,0.7142857142857143,0.39999999999999997,1.0,1.0,12,0.0004328703626705396,random_balanced,6.256637168141593,0.05309734513274336,0.005162241887905605,1.1147690968469726,p3_6g_temporal_focus,history_cost_quality,3,0.28,0|1|15|2|3|4|5,43.8,43.9,43.9,9
CQI k-means,0.6043435802277329,5185.714285714285,28.80952380952381,28.80952380952381,1.0,0.0,3.7142857142857144,1.0,0.5428571428571429,0.9223451838474622,2.0,12,0.0004328703626705396,random_balanced,6.256637168141593,0.05309734513274336,0.005162241887905605,1.1147690968469726,p3_6g_temporal_focus,history_cost_quality,3,0.28,0|1|15|2|3|4|5,43.8,43.9,43.9,9
Resource-cost k-means,0.6043435802277329,5185.714285714285,28.80952380952381,28.80952380952381,1.0,0.0,3.7142857142857144,1.0,0.5428571428571429,0.9223451838474622,2.0,12,0.0004328703626705396,random_balanced,6.256637168141593,0.05309734513274336,0.005162241887905605,1.1147690968469726,p3_6g_temporal_focus,history_cost_quality,3,0.28,0|1|15|2|3|4|5,43.8,43.9,43.9,9
Multi-feature k-means,0.6043435802277329,5185.714285714285,28.80952380952381,28.80952380952381,1.0,0.0,3.7142857142857144,1.0,0.5428571428571429,0.9223451838474622,2.0,12,0.0004328703626705396,random_balanced,6.256637168141593,0.05309734513274336,0.005162241887905605,1.1147690968469726,p3_6g_temporal_focus,history_cost_quality,3,0.28,0|1|15|2|3|4|5,43.8,43.9,43.9,9
Offline teacher,0.6043435802277329,5185.714285714285,28.80952380952381,28.80952380952381,1.0,0.0,3.7142857142857144,1.0,0.5428571428571429,0.9223451838474622,2.0,12,0.0004328703626705396,random_balanced,6.256637168141593,0.05309734513274336,0.005162241887905605,1.1147690968469726,p3_6g_temporal_focus,history_cost_quality,3,0.28,0|1|15|2|3|4|5,43.8,43.9,43.9,9
LE-GRA MVP,0.6043435802277329,5185.714285714285,28.80952380952381,28.80952380952381,1.0,0.0,3.7142857142857144,1.0,0.5428571428571429,0.9223451838474622,2.0,12,0.0004328703626705396,random_balanced,6.256637168141593,0.05309734513274336,0.005162241887905605,1.1147690968469726,p3_6g_temporal_focus,history_cost_quality,3,0.28,0|1|15|2|3|4|5,43.8,43.9,43.9,9
