timestamp_s,sumo_vehicle_id,ue_module_path,x_m,y_m,speed_mps
0.2,0,Highway.car[0],226.65,416.134329244136,0.156707558642142
0.3,0,Highway.car[0],226.65,416.103310410344,0.310188337914881
0.4,0,Highway.car[0],226.65,416.05632227748,0.469881328638984
0.5,0,Highway.car[0],226.65,415.993564450441,0.627578270394723
0.6,0,Highway.car[0],226.65,415.915221619346,0.78342831094982
0.7,0,Highway.car[0],226.65,415.821871002083,0.933506172625551
0.8,0,Highway.car[0],226.65,415.714211004877,1.0765999720642
0.9,0,Highway.car[0],226.65,415.593110289617,1.21100715260219
1,0,Highway.car[0],226.65,415.456346446103,1.36763843514024
1.1,0,Highway.car[0],226.65,415.306008543452,1.50337902650724
1.2,0,Highway.car[0],226.65,415.142151166036,1.6385737741601
1.3,0,Highway.car[0],226.65,414.964187132437,1.77964033599499
1.4,0,Highway.car[0],226.65,414.770438659716,1.93748472720872
1.5,0,Highway.car[0],226.65,414.564033883822,2.06404775893803
1.6,0,Highway.car[0],226.65,414.345471724161,2.1856215966076
1.7,0,Highway.car[0],226.65,414.111039426782,2.34432297379266
1.8,0,Highway.car[0],226.65,413.864528846898,2.46510579883608
1.9,0,Highway.car[0],226.65,413.60230470283,2.62224144068103
2,0,Highway.car[0],226.65,413.326165069358,2.76139633472565
2.1,0,Highway.car[0],226.65,413.034894964898,2.91270104459043
2.2,0,Highway.car[0],226.65,412.730171073814,3.0472389108457
2.3,0,Highway.car[0],226.65,412.412225693792,3.17945380022305
2.4,0,Highway.car[0],226.65,412.081339341571,3.30886352221038
2.5,0,Highway.car[0],226.65,411.734728638405,3.46610703165199
2.6,0,Highway.car[0],226.65,411.375177756419,3.59550881986062
2.7,0,Highway.car[0],226.65,411.002287034898,3.72890721520896
2.8,0,Highway.car[0],226.65,410.61506705569,3.8721997920845
2.9,0,Highway.car[0],226.65,410.213874553445,4.01192502244863
3,0,Highway.car[0],226.65,409.799757272423,4.14117281022038
3,1,Highway.car[1],226.65,416.136171190872,0.138288091282244
3.1,0,Highway.car[0],226.65,409.37133279841,4.28424474012594
3.1,1,Highway.car[1],226.65,416.108638707048,0.275324838235466
3.2,0,Highway.car[0],226.65,408.930612738705,4.40720059705454
3.2,1,Highway.car[1],226.65,416.06737931678,0.412593902686169
3.3,0,Highway.car[0],226.65,408.476620384949,4.53992353756468
3.3,1,Highway.car[1],226.65,416.012759000929,0.54620315850894
3.4,0,Highway.car[0],226.65,408.008101853568,4.68518531380709
3.4,1,Highway.car[1],226.65,415.94471594695,0.68043053978397
3.5,0,Highway.car[0],226.65,407.527018961605,4.81082891962979
3.5,1,Highway.car[1],226.65,415.86337490287,0.813410440807198
3.6,0,Highway.car[0],226.65,407.03145805237,4.95560909234475
3.6,1,Highway.car[1],226.65,415.769657482607,0.937174202621441
3.7,0,Highway.car[0],226.65,406.520276960177,5.11181092193838
3.7,1,Highway.car[1],226.65,415.663454489288,1.06202993319551
3.8,0,Highway.car[0],226.65,405.994395430835,5.25881529341939
3.8,1,Highway.car[1],226.65,415.544551590601,1.18902898687093
3.9,0,Highway.car[0],226.65,405.454174350241,5.40221080593321
3.9,1,Highway.car[1],226.65,415.413273955681,1.31277634919758
4,0,Highway.car[0],226.65,404.900922365414,5.53251984826777
4,1,Highway.car[1],226.65,415.271385322671,1.41888633010464
4.1,0,Highway.car[0],226.65,404.334302016074,5.66620349340629
4.1,1,Highway.car[1],226.65,415.117031543768,1.54353778903044
4.2,0,Highway.car[0],226.65,403.752486934054,5.81815082019683
4.2,1,Highway.car[1],226.65,414.951166227693,1.65865316074595
4.3,0,Highway.car[0],226.65,403.157905803679,5.94581130374711
4.3,1,Highway.car[1],226.65,414.774209352168,1.76956875524504
4.4,0,Highway.car[0],226.65,402.550470283064,6.07435520614985
4.4,1,Highway.car[1],226.65,414.585272043026,1.8893730914199
4.5,0,Highway.car[0],226.65,401.928614520988,6.21855762076121
4.5,1,Highway.car[1],226.65,414.385472948416,1.99799094610519
4.6,0,Highway.car[0],226.65,401.292801223844,6.35813297144625
4.6,1,Highway.car[1],226.65,414.174964363155,2.10508585261085
4.7,0,Highway.car[0],226.65,400.644172564842,6.48628659002039
4.7,1,Highway.car[1],226.65,413.953206509942,2.21757853212904
4.8,0,Highway.car[0],226.65,399.981325415831,6.62847149010304
4.8,1,Highway.car[1],226.65,413.719551537417,2.33654972525218
4.9,0,Highway.car[0],226.65,399.305450534477,6.75874881354648
4.9,1,Highway.car[1],226.65,413.473578876316,2.45972661101164
5,0,Highway.car[0],226.65,398.61389064941,6.9155988506649
5,1,Highway.car[1],226.65,413.216067954851,2.57510921464323
5.1,0,Highway.car[0],226.65,397.908281345379,7.05609304030914
5.1,1,Highway.car[1],226.65,412.946660437252,2.69407517598846
5.2,0,Highway.car[0],226.65,397.188409595914,7.1987174946491
5.2,1,Highway.car[1],226.65,412.666696395373,2.79964041879422
5.3,0,Highway.car[0],226.65,396.453522078229,7.34887517685558
5.3,1,Highway.car[1],226.65,412.374218335432,2.92478059940643
5.4,0,Highway.car[0],226.65,395.70608112342,7.47440954808634
5.4,1,Highway.car[1],226.65,412.069696471194,3.04521864237983
5.5,0,Highway.car[0],226.65,394.94272025886,7.63360864560608
5.5,1,Highway.car[1],226.65,411.752552072744,3.17144398450523
5.6,0,Highway.car[0],226.65,394.165162701126,7.77557557733286
5.6,1,Highway.car[1],226.65,411.423911197996,3.28640874747441
5.7,0,Highway.car[0],226.65,393.371794834878,7.9336786624838
5.7,1,Highway.car[1],226.65,411.082844798424,3.41066399572322
5.8,0,Highway.car[0],226.65,392.564417878606,8.07376956271495
5.8,1,Highway.car[1],226.65,410.730228817655,3.5261598076883
5.9,0,Highway.car[0],226.65,391.744476018353,8.19941860253479
5.9,1,Highway.car[1],226.65,410.366061168759,3.64167648896363
6,0,Highway.car[0],226.65,390.909873420723,8.34602597630139
6,1,Highway.car[1],226.65,409.99035358134,3.75707587419215
6.1,0,Highway.car[0],226.65,390.06287718321,8.46996237513166
6.1,1,Highway.car[1],226.65,409.602635606805,3.87717974534512
6.1,2,Highway.car[2],226.65,416.13804423952,0.119557604800165
6.2,0,Highway.car[0],226.65,389.201054418837,8.61822764372941
6.2,1,Highway.car[1],226.65,409.201468650382,4.01166956422988
6.2,2,Highway.car[2],226.65,416.114680600438,0.23363639082248
6.3,0,Highway.car[0],226.65,388.326381195629,8.74673223207261
6.3,1,Highway.car[1],226.65,408.789466071033,4.1200257934958
6.3,2,Highway.car[2],226.65,416.080022401302,0.346581991357288
6.4,0,Highway.car[0],226.65,387.438109099209,8.88272096420195
6.4,1,Highway.car[1],226.65,408.365984206277,4.23481864755878
6.4,2,Highway.car[2],226.65,416.034365635014,0.456567662879355
6.5,0,Highway.car[0],226.65,386.535994024101,9.02115075108152
6.5,1,Highway.car[1],226.65,407.929607405352,4.36376800925026
6.5,2,Highway.car[2],226.65,415.977525197659,0.568404373555431
6.6,0,Highway.car[0],226.65,385.618060837484,9.17933186617237
6.6,1,Highway.car[1],226.65,407.482383010687,4.47224394664771
6.6,2,Highway.car[2],226.65,415.909487442852,0.680377548061603
6.7,0,Highway.car[0],226.65,384.685625700913,9.32435136571083
6.7,1,Highway.car[1],226.65,407.022217608299,4.60165402387988
6.7,2,Highway.car[2],226.65,415.830716973314,0.787704695380688
6.8,0,Highway.car[0],226.65,383.739210511328,9.46415189585205
6.8,1,Highway.car[1],226.65,406.550482932901,4.71734675397768
6.8,2,Highway.car[2],226.65,415.741424150664,0.892928226498244
6.9,0,Highway.car[0],226.65,382.778497594809,9.6071291651905
6.9,1,Highway.car[1],226.65,406.065931579336,4.84551353564856
6.9,2,Highway.car[2],226.65,415.642071825061,0.99352325603516
7,0,Highway.car[0],226.65,381.802056766978,9.76440827830251
7,1,Highway.car[1],226.65,405.569460362151,4.96471217185512
7,2,Highway.car[2],226.65,415.533600552029,1.08471273032055
7.1,0,Highway.car[0],226.65,380.811433063045,9.90623703933809
7.1,1,Highway.car[1],226.65,405.06206234398,5.07398018170402
7.1,2,Highway.car[2],226.65,415.416426074121,1.17174477907774
7.2,0,Highway.car[0],226.65,379.804829423957,10.066036390872
7.2,1,Highway.car[1],226.65,404.543268561722,5.18793782258194
7.2,2,Highway.car[2],226.65,415.288335632744,1.28090441377499
7.3,0,Highway.car[0],226.65,378.785943728075,10.1888569588263
7.3,1,Highway.car[1],226.65,404.012334062802,5.30934498920592
7.3,2,Highway.car[2],226.65,415.151453432113,1.36882200631072
7.4,0,Highway.car[0],226.65,377.754904438265,10.3103928980932
7.4,1,Highway.car[1],226.65,403.468520730106,5.43813332695185
7.4,2,Highway.car[2],226.65,415.003067538456,1.48385893657004
7.5,0,Highway.car[0],226.65,376.710625253838,10.442791844276
7.5,1,Highway.car[1],226.65,402.913390343769,5.55130386337076
7.5,2,Highway.car[2],226.65,414.842893569861,1.60173968594466
7.6,0,Highway.car[0],226.65,375.653261667424,10.5736358641416
7.6,1,Highway.car[1],226.65,402.344966200948,5.68424142821829
7.6,2,Highway.car[2],226.65,414.67322915654,1.69664413321057
7.7,0,Highway.car[0],226.65,374.582790328081,10.7047133934267
7.7,1,Highway.car[1],226.65,401.76437616644,5.80590034507701
7.7,2,Highway.car[2],226.65,414.494271978935,1.78957177605425
7.8,0,Highway.car[0],226.65,373.497874735957,10.8491559212424
7.8,1,Highway.car[1],226.65,401.170819965878,5.93556200561833
7.8,2,Highway.car[2],226.65,414.306264056954,1.88007921981105
7.9,0,Highway.car[0],226.65,372.40079293154,10.9708180441663
7.9,1,Highway.car[1],226.65,400.56352802748,6.07291938398403
7.9,2,Highway.car[2],226.65,414.106271842758,1.99992214195655
8,0,Highway.car[0],226.65,371.290348855476,11.1044407606453
8,1,Highway.car[1],226.65,399.943460186573,6.20067840907045
8,2,Highway.car[2],226.65,413.895892679021,2.10379163736516
8.1,0,Highway.car[0],226.65,370.164694708896,11.2565414657958
8.1,1,Highway.car[1],226.65,399.309460537174,6.33999649398864
8.1,2,Highway.car[2],226.65,413.675088833911,2.20803845110201
8.2,0,Highway.car[0],226.65,369.026140772388,11.3855393650804
8.2,1,Highway.car[1],226.65,398.664714542603,6.44745994570569
8.2,2,Highway.car[2],226.65,413.445267120805,2.29821713106
8.3,0,Highway.car[0],226.65,367.872707817803,11.5343295458474
8.3,1,Highway.car[1],226.65,398.008637491419,6.56077051184277
8.3,2,Highway.car[2],226.65,413.204985789728,2.40281331076884
8.4,0,Highway.car[0],226.65,366.706479698292,11.6622811951071
8.4,1,Highway.car[1],226.65,397.340188517618,6.68448973801007
8.4,2,Highway.car[2],226.65,412.953831796153,2.51153993575313
8.5,0,Highway.car[0],226.65,365.52767207405,11.7880762424276
8.5,1,Highway.car[1],226.65,396.659681695298,6.80506822319954
8.5,2,Highway.car[2],226.65,412.6942215952,2.59610200952498
8.6,0,Highway.car[0],226.65,364.334458447194,11.9321362685554
8.6,1,Highway.car[1],226.65,395.966846919449,6.92834775849033
8.6,2,Highway.car[2],226.65,412.423956385998,2.70265209202507
8.7,0,Highway.car[0],226.65,363.127391637798,12.0706680939582
8.7,1,Highway.car[1],226.65,395.260919026637,7.05927892812199
8.7,2,Highway.car[2],226.65,412.144507113282,2.79449272716084
8.8,0,Highway.car[0],226.65,361.907825454669,12.1956618312888
8.8,1,Highway.car[1],226.65,394.543843022267,7.17076004369321
