ue_id,snapshot_count,cqi_min,cqi_max,previous_quality_min,previous_quality_max,distance_min_m,distance_max_m,cost_min,cost_max
1,10,14.0,14.0,2.0,2.0,93.62,94.69,3.166667,3.166667
2,10,12.0,14.0,2.0,2.0,96.82,99.78,3.166667,3.500000
4,10,11.0,14.0,2.0,2.0,150.05,152.94,3.166667,3.666667
5,10,15.0,15.0,1.0,2.0,161.79,163.31,3.166667,3.166667
