dispersion,seed,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency
high,11,14,CQI k-means,0.44378720003650846,1726.0,1.0,1.96,19.177777777777777
high,11,14,Resource-cost k-means,0.49185997534385395,2328.0,1.0,2.28,25.866666666666667
high,11,14,Multi-feature k-means,0.4999557334320876,2020.0,1.0,2.2,22.444444444444443
high,11,14,Offline teacher,0.5570853735528539,2146.0,1.0,2.34,23.844444444444445
high,11,15,No grouping,0.1371130664541918,550.0,1.0,1.0,6.111111111111111
high,11,15,CQI k-means,0.35195749359213147,2888.0,1.0,1.92,32.08888888888889
high,11,15,Resource-cost k-means,0.42785195386903097,1768.0,1.0,1.88,19.644444444444446
high,11,15,Multi-feature k-means,0.43945815472017324,1698.0,1.0,1.88,18.866666666666667
high,11,15,Offline teacher,0.44881957695276964,1747.0,1.0,1.92,19.41111111111111
high,11,16,No grouping,0.1391130664541918,550.0,1.0,1.0,6.111111111111111
high,11,16,CQI k-means,0.4866052212033942,2684.0,1.0,2.16,29.822222222222223
high,11,16,Resource-cost k-means,0.4945464321553743,2125.0,1.0,2.2,23.61111111111111
high,11,16,Multi-feature k-means,0.4625100445017017,1824.0,1.0,2.04,20.266666666666666
high,11,16,Offline teacher,0.5132692766205673,2223.0,1.0,2.28,24.7
high,11,17,No grouping,0.10511306645419183,550.0,1.0,1.0,6.111111111111111
high,11,17,CQI k-means,0.4874468669901643,3560.0,1.0,2.4,39.55555555555556
high,11,17,Resource-cost k-means,0.48579964816812277,2104.0,1.0,2.14,23.377777777777776
high,11,17,Multi-feature k-means,0.4081978739737717,1992.0,1.0,1.92,22.133333333333333
high,11,17,Offline teacher,0.4933819094972066,2111.0,1.0,2.16,23.455555555555556
high,11,18,No grouping,0.10511306645419183,550.0,1.0,1.0,6.111111111111111
high,11,18,CQI k-means,0.5485429669379488,2874.0,1.0,2.36,31.933333333333334
high,11,18,Resource-cost k-means,0.5144098597566767,2314.0,1.0,2.34,25.711111111111112
high,11,18,Multi-feature k-means,0.5707804226056483,2926.0,1.0,2.44,32.51111111111111
high,11,18,Offline teacher,0.5707804226056483,2926.0,1.0,2.44,32.51111111111111
high,11,19,No grouping,0.11911306645419181,550.0,1.0,1.0,6.111111111111111
high,11,19,CQI k-means,0.46997260822049314,2216.0,1.0,2.16,24.622222222222224
high,11,19,Resource-cost k-means,0.4869162917821735,2272.0,1.0,2.22,25.244444444444444
high,11,19,Multi-feature k-means,0.46997260822049314,2216.0,1.0,2.16,24.622222222222224
high,11,19,Offline teacher,0.5400160606078188,2244.0,1.0,2.34,24.933333333333334
high,12,0,No grouping,0.11911306645419181,550.0,1.0,1.0,6.111111111111111
high,12,0,CQI k-means,0.45886530475715903,3448.0,1.0,2.32,38.31111111111111
high,12,0,Resource-cost k-means,0.4271415575354521,2048.0,1.0,1.98,22.755555555555556
high,12,0,Multi-feature k-means,0.4731007432249883,1929.0,1.0,2.04,21.433333333333334
high,12,0,Offline teacher,0.4824621654575847,1978.0,1.0,2.08,21.977777777777778
high,12,1,No grouping,0.1111130664541918,550.0,1.0,1.0,6.111111111111111
high,12,1,CQI k-means,0.5119557334320878,2020.0,1.0,2.2,22.444444444444443
high,12,1,Resource-cost k-means,0.5194901157170546,2181.0,1.0,2.26,24.233333333333334
high,12,1,Multi-feature k-means,0.5457651455437409,3357.0,1.0,2.54,37.3
high,12,1,Offline teacher,0.590763048255506,3672.0,1.0,2.72,40.8
high,12,2,No grouping,0.14111306645419183,550.0,1.0,1.0,6.111111111111111
high,12,2,CQI k-means,0.5179557334320878,2020.0,1.0,2.2,22.444444444444443
high,12,2,Resource-cost k-means,0.493859975343854,2328.0,1.0,2.28,25.866666666666667
high,12,2,Multi-feature k-means,0.5179557334320878,2020.0,1.0,2.2,22.444444444444443
high,12,2,Offline teacher,0.5442368997043061,2202.0,1.0,2.32,24.466666666666665
high,12,3,No grouping,0.10911306645419179,550.0,1.0,1.0,6.111111111111111
high,12,3,CQI k-means,0.48602842922316986,3672.0,1.0,2.48,40.8
high,12,3,Resource-cost k-means,0.5076870152914834,2216.0,1.0,2.26,24.622222222222224
high,12,3,Multi-feature k-means,0.4912089494448361,1999.0,1.0,2.14,22.211111111111112
high,12,3,Offline teacher,0.5364354011313271,3434.0,1.0,2.52,38.15555555555556
high,12,4,No grouping,0.4499363916924877,1500.0,1.0,2.0,16.666666666666668
high,12,4,CQI k-means,0.6339006485413965,3173.0,1.0,2.7,35.25555555555555
high,12,4,Resource-cost k-means,0.6352968109606576,2888.0,1.0,2.88,32.08888888888889
high,12,4,Multi-feature k-means,0.6784628550392197,3452.0,1.0,2.88,38.355555555555554
high,12,4,Offline teacher,0.6935395713672989,3830.0,1.0,3.0,42.55555555555556
high,12,5,No grouping,0.11311306645419181,550.0,1.0,1.0,6.111111111111111
high,12,5,CQI k-means,0.48723288896689465,1922.0,1.0,2.12,21.355555555555554
high,12,5,Resource-cost k-means,0.5848231717708015,2489.0,1.0,2.54,27.655555555555555
high,12,5,Multi-feature k-means,0.5434014223624737,2216.0,1.0,2.36,24.622222222222224
high,12,5,Offline teacher,0.5924054330998854,2496.0,1.0,2.56,27.733333333333334
high,12,6,No grouping,0.1431130664541918,550.0,1.0,1.0,6.111111111111111
high,12,6,CQI k-means,0.3843487150247279,1466.0,1.0,1.66,16.288888888888888
high,12,6,Resource-cost k-means,0.39810529685553947,1318.0,1.0,1.72,14.644444444444444
high,12,6,Multi-feature k-means,0.46197260822049313,2216.0,1.0,2.16,24.622222222222224
high,12,6,Offline teacher,0.4679544558045831,1844.0,1.0,1.98,20.488888888888887
high,12,7,No grouping,0.11111306645419182,550.0,1.0,1.0,6.111111111111111
high,12,7,CQI k-means,0.45851004450170163,1824.0,1.0,2.04,20.266666666666666
high,12,7,Resource-cost k-means,0.49232559305888707,2167.0,1.0,2.22,24.07777777777778
high,12,7,Multi-feature k-means,0.4865943111994912,1971.0,1.0,2.16,21.9
high,12,7,Offline teacher,0.5168754774717096,2153.0,1.0,2.28,23.92222222222222
high,12,8,No grouping,0.11511306645419181,550.0,1.0,1.0,6.111111111111111
high,12,8,CQI k-means,0.4758714667342982,1873.0,1.0,2.08,20.81111111111111
high,12,8,Resource-cost k-means,0.5154901157170547,2181.0,1.0,2.26,24.233333333333334
high,12,8,Multi-feature k-means,0.5311835833107353,3245.0,1.0,2.46,36.05555555555556
high,12,8,Offline teacher,0.5537651455437408,3357.0,1.0,2.54,37.3
high,12,9,No grouping,0.1071130664541918,550.0,1.0,1.0,6.111111111111111
high,12,9,CQI k-means,0.5682432570048042,3012.0,1.0,2.48,33.46666666666667
