split,benchmark_id,benchmark_title,cqi_dispersion,rb_heterogeneity,pressure,scenario_mode,rb_budget_ratio,count,mean_teacher_gain_vs_cqi,mean_resource_gain_vs_cqi,mean_multifeature_gain_vs_cqi,mean_cqi_span,mean_same_cqi_cost_std
train,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,0.42,4.0,0.010150715311475406,0.0,-0.0011376967030964635,5.5,0.006571654539012847
test,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,0.42,2.0,0.011968097289617563,-0.0010638054207648961,-0.0010638054207648961,5.0,0.006124175749395743
