split,count,mean_teacher_gain_vs_cqi,mean_resource_gain_vs_cqi,mean_multifeature_gain_vs_cqi,mean_cqi_span,mean_same_cqi_cost_std
train,16.0,0.06797972858185752,0.03303296155882041,0.017060313250767477,2.0,0.007425463571314722
test,8.0,0.06853131264037154,0.027846758970604776,0.024871734987864408,2.0,0.006331332778554135
