background_train_limit,effective_background_train_scenarios,effective_focus_train_scenarios,legra_utility,teacher_utility,multifeature_utility,legra_teacher_gap,legra_vs_multifeature_gap,pairwise_accuracy,ari,nmi,selected_epoch,selection_validation_loss,out_dir
150,150,4,0.5790831051936908,0.5796090488051922,0.5790831051936908,0.0005259436115013782,0.0,0.7142857142857143,0.4166666666666667,0.42814017811961563,12,0.058360915671242714,p3_6m10_background_dilution_sweep\background_limit_150
100,100,4,0.5790831051936908,0.5796090488051922,0.5790831051936908,0.0005259436115013782,0.0,0.7142857142857143,0.4166666666666667,0.42814017811961563,12,0.08409777228529948,p3_6m10_background_dilution_sweep\background_limit_100
50,50,4,0.5796090488051922,0.5796090488051922,0.5790831051936908,0.0,0.0005259436115013782,1.0,1.0,1.0,12,0.13296373838359132,p3_6m10_background_dilution_sweep\background_limit_050
20,20,4,0.5796090488051922,0.5796090488051922,0.5790831051936908,0.0,0.0005259436115013782,1.0,1.0,1.0,12,0.17225257733030538,p3_6m10_background_dilution_sweep\background_limit_020
10,10,4,0.5796090488051922,0.5796090488051922,0.5790831051936908,0.0,0.0005259436115013782,1.0,1.0,1.0,12,0.1815871595477754,p3_6m10_background_dilution_sweep\background_limit_010
5,5,4,0.5796090488051922,0.5796090488051922,0.5790831051936908,0.0,0.0005259436115013782,1.0,1.0,1.0,5,0.1732550941177934,p3_6m10_background_dilution_sweep\background_limit_005
0,0,4,0.5796090488051922,0.5796090488051922,0.5790831051936908,0.0,0.0005259436115013782,1.0,1.0,1.0,12,0.1474319096862876,p3_6m10_background_dilution_sweep\background_limit_000
