quality_range_bucket,scenario_count,multi_group_count,multi_group_ratio,mean_teacher_group_count,mean_teacher_gain_vs_single,max_teacher_gain_vs_single
0,586,3,0.005119453924914676,1.0051194539249146,0.00029262492565041614,0.05715940214371462
1,210,6,0.02857142857142857,1.0285714285714285,0.00034002641505825724,0.011900924527038947
2,2,0,0.0,1.0,0.0,0.0
3+,32,21,0.65625,1.65625,0.05214020560253273,0.07945174187052606
