scenario_id,timestamp_s,serving_gnb,user_count,ue_ids
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
