dispersion,seed,scenario_index,method,utility,adr_kbps
low,1,7,CQI+cost+joint 3-way union,0.9398156223300547,7160.0
low,1,8,No grouping,0.9306666666666669,7500.0
low,1,8,CQI k-means,0.9384208297734066,7046.666666666667
low,1,8,CQI k-means (k-means++),0.9384208297734066,7046.666666666667
low,1,8,Resource-cost k-means,0.9324113533656834,7398.0
low,1,8,Resource-cost k-means (k-means++),0.9324113533656834,7398.0
low,1,8,Multi-feature k-means,0.9409409327830969,6899.333333333333
low,1,8,Multi-feature k-means (k-means++),0.9409409327830969,6899.333333333333
low,1,8,CQI+resource-cost joint k-means (single clustering),0.9324113533656834,7398.0
low,1,8,"CQI+resource-cost hybrid (paper method, union)",0.9384208297734066,7046.666666666667
low,1,8,CQI+cost+joint 3-way union,0.9384208297734066,7046.666666666667
low,1,9,No grouping,0.9306666666666669,7500.0
low,1,9,CQI k-means,0.939002392006412,7012.666666666667
low,1,9,CQI k-means (k-means++),0.939002392006412,7012.666666666667
low,1,9,Resource-cost k-means,0.9310543748220038,7477.333333333333
low,1,9,Resource-cost k-means (k-means++),0.9314420829773408,7454.666666666667
low,1,9,Multi-feature k-means,0.9426856194821134,6797.333333333333
low,1,9,Multi-feature k-means (k-means++),0.9426856194821134,6797.333333333333
low,1,9,CQI+resource-cost joint k-means (single clustering),0.9352438062255286,6975.333333333333
low,1,9,"CQI+resource-cost hybrid (paper method, union)",0.939002392006412,7012.666666666667
low,1,9,CQI+cost+joint 3-way union,0.939002392006412,7012.666666666667
low,1,10,No grouping,0.9313333333333337,7500.0
low,1,10,CQI k-means,0.9383120801293994,7092.0
low,1,10,CQI k-means (k-means++),0.9383120801293994,7092.0
low,1,10,Resource-cost k-means,0.9324964577993444,7432.0
low,1,10,Resource-cost k-means (k-means++),0.9324964577993444,7432.0
low,1,10,Multi-feature k-means,0.9414137453720951,6910.666666666667
low,1,10,Multi-feature k-means (k-means++),0.9414137453720951,6910.666666666667
low,1,10,CQI+resource-cost joint k-means (single clustering),0.9324964577993444,7432.0
low,1,10,"CQI+resource-cost hybrid (paper method, union)",0.9383120801293994,7092.0
low,1,10,CQI+cost+joint 3-way union,0.9383120801293994,7092.0
low,1,11,No grouping,0.9306666666666669,7500.0
low,1,11,CQI k-means,0.9384208297734066,7046.666666666667
low,1,11,CQI k-means (k-means++),0.9384208297734066,7046.666666666667
low,1,11,Resource-cost k-means,0.9306666666666669,7500.0
low,1,11,Resource-cost k-means (k-means++),0.9312482288996724,7466.0
low,1,11,Multi-feature k-means,0.945787284724809,6616.0
low,1,11,Multi-feature k-means (k-means++),0.945787284724809,6616.0
low,1,11,CQI+resource-cost joint k-means (single clustering),0.9470689049633063,6284.0
low,1,11,"CQI+resource-cost hybrid (paper method, union)",0.9384208297734066,7046.666666666667
low,1,11,CQI+cost+joint 3-way union,0.9470689049633063,6284.0
low,1,12,No grouping,0.9333333333333336,7500.0
low,1,12,CQI k-means,0.9414752045954102,7024.0
low,1,12,CQI k-means (k-means++),0.9414752045954102,7024.0
low,1,12,Resource-cost k-means,0.9344964577993444,7432.0
low,1,12,Resource-cost k-means (k-means++),0.9344964577993444,7432.0
low,1,12,Multi-feature k-means,0.9467329099028052,6638.666666666667
low,1,12,Multi-feature k-means (k-means++),0.9467329099028052,6638.666666666667
low,1,12,CQI+resource-cost joint k-means (single clustering),0.941442983757532,6254.666666666667
low,1,12,"CQI+resource-cost hybrid (paper method, union)",0.9414752045954102,7024.0
low,1,12,CQI+cost+joint 3-way union,0.9414752045954102,7024.0
low,1,13,No grouping,0.932,7500.0
low,1,13,CQI k-means,0.9393664549514028,7069.333333333333
low,1,13,CQI k-means (k-means++),0.9393664549514028,7069.333333333333
low,1,13,Resource-cost k-means,0.932,7500.0
low,1,13,Resource-cost k-means (k-means++),0.9329692703883425,7443.333333333333
low,1,13,Multi-feature k-means,0.9447943691261206,6752.0
low,1,13,Multi-feature k-means (k-means++),0.9457636395144632,6695.333333333333
low,1,13,CQI+resource-cost joint k-means (single clustering),0.938618065689094,6213.333333333333
low,1,13,"CQI+resource-cost hybrid (paper method, union)",0.9393664549514028,7069.333333333333
low,1,13,CQI+cost+joint 3-way union,0.9393664549514028,7069.333333333333
low,1,14,No grouping,0.934666666666667,7500.0
low,1,14,CQI k-means,0.9420331216180695,7069.333333333333
low,1,14,CQI k-means (k-means++),0.9420331216180695,7069.333333333333
low,1,14,Resource-cost k-means,0.9369929155986889,7364.0
low,1,14,Resource-cost k-means (k-means++),0.9369929155986889,7364.0
low,1,14,Multi-feature k-means,0.9424208297734066,7046.666666666667
low,1,14,Multi-feature k-means (k-means++),0.9428085379287434,7024.0
low,1,14,CQI+resource-cost joint k-means (single clustering),0.9369929155986889,7364.0
low,1,14,"CQI+resource-cost hybrid (paper method, union)",0.9420331216180695,7069.333333333333
low,1,14,CQI+cost+joint 3-way union,0.9420331216180695,7069.333333333333
low,1,15,No grouping,0.9313333333333335,7500.0
low,1,15,CQI k-means,0.9385059342070678,7080.666666666667
low,1,15,CQI k-means (k-means++),0.9385059342070678,7080.666666666667
low,1,15,Resource-cost k-means,0.9313333333333335,7500.0
low,1,15,Resource-cost k-means (k-means++),0.93307802003235,7398.0
low,1,15,Multi-feature k-means,0.9408321831390896,6944.666666666667
low,1,15,Multi-feature k-means (k-means++),0.9408321831390896,6944.666666666667
low,1,15,CQI+resource-cost joint k-means (single clustering),0.9355261465748773,6176.0
low,1,15,"CQI+resource-cost hybrid (paper method, union)",0.9385059342070678,7080.666666666667
low,1,15,CQI+cost+joint 3-way union,0.9385059342070678,7080.666666666667
low,1,16,No grouping,0.9340000000000002,7500.0
low,1,16,CQI k-means,0.9423357253397453,7012.666666666667
low,1,16,CQI k-means (k-means++),0.9423357253397453,7012.666666666667
low,1,16,Resource-cost k-means,0.9357446866990167,7398.0
low,1,16,Resource-cost k-means (k-means++),0.9357446866990167,7398.0
low,1,16,Multi-feature k-means,0.9438865579610933,6922.0
low,1,16,Multi-feature k-means (k-means++),0.9438865579610933,6922.0
