schema_version,scenario_id,timestamp_s,serving_gnb,rb_available,total_rbs,dispersion
1.0,simu5g_00000000,0.4,gnb_0,3,4,simu5g
1.0,simu5g_00000001,0.5,gnb_0,2,4,simu5g
