dispersion,load,seed,step,is_warmup,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency,fairness,avg_switching,quality_switch_rate,quality_change_levels,pairwise_group_churn,groups
low,light,seed_0032,1,0,MethodB_cutpoint_stddev,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,2,0,MethodB_cutpoint_stddev,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,3,0,MethodB_cutpoint_stddev,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,4,0,MethodB_cutpoint_stddev,7312.5,7312.5,1.0,4.916666666666667,81.25,0.9851036269430051,0.016666666666666666,0.041666666666666664,0.08333333333333333,0.08333333333333333,2
low,light,seed_0032,5,0,MethodB_cutpoint_stddev,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.016666666666666666,0.041666666666666664,0.08333333333333333,0.08333333333333333,1
low,light,seed_0032,6,0,MethodB_cutpoint_stddev,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,7,0,MethodB_cutpoint_stddev,7312.5,7312.5,1.0,4.916666666666667,81.25,0.9851036269430051,0.016666666666666666,0.041666666666666664,0.08333333333333333,0.08333333333333333,2
low,light,seed_0032,8,0,MethodB_cutpoint_stddev,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.016666666666666666,0.041666666666666664,0.08333333333333333,0.08333333333333333,1
low,light,seed_0032,9,0,MethodB_cutpoint_stddev,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,10,0,MethodB_cutpoint_stddev,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,11,0,MethodB_cutpoint_stddev,7250.0,7250.0,1.0,4.875,80.55555555555556,0.9733796296296297,0.024999999999999998,0.041666666666666664,0.125,0.08333333333333333,2
low,light,seed_0032,12,0,MethodB_cutpoint_stddev,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.024999999999999998,0.041666666666666664,0.125,0.08333333333333333,1
low,light,seed_0032,13,0,MethodB_cutpoint_stddev,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,14,0,MethodB_cutpoint_stddev,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,0,1,CQI_kmeans_published,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,1.0,1.0,5.0,0.0,1
low,light,seed_0032,1,0,CQI_kmeans_published,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0032,2,0,CQI_kmeans_published,7500.0,7500.0,1.0,5.0,83.33333333333333,1.0,0.0,0.0,0.0,0.0,1
