scope,method,mean_adr_utility,mean_diff_vs_published,diff_vs_published_ci95_low,diff_vs_published_ci95_high,seeds_win_vs_published,seeds_tie_vs_published,seeds_loss_vs_published
mid_high_6_cells,NoGrouping_single_group,876.9047619047618,-1018.8516865079364,-1059.6144593253969,-978.8218936011905,0,0,20
mid_high_6_cells,MethodA_proxy_kmeans,1702.3164682539682,-193.43998015873012,-208.05688864087293,-179.39236111111106,0,0,20
mid_high_6_cells,MethodB_cutpoint_stddev,2036.3070436507937,140.55059523809533,123.94441344246037,156.89490327380952,20,0,0
mid_high_6_cells,CQI_kmeans_published,1895.7564484126983,0.0,0.0,0.0,0,20,0
mid_high_6_cells,Candidate_union_final,1973.1882440476188,77.43179563492063,69.43195064484112,86.53273809523812,20,0,0
mid_high_6_cells,OptimalCutpoint_upperbound,2146.380208333333,250.62375992063488,233.74358258928567,268.3123139880952,20,0,0
high_only_3_cells,NoGrouping_single_group,366.25,-830.1612103174605,-861.5540054563492,-798.4966517857143,0,0,20
high_only_3_cells,MethodA_proxy_kmeans,1155.2728174603174,-41.13839285714288,-47.001488095238116,-35.60007440476192,0,0,20
high_only_3_cells,MethodB_cutpoint_stddev,1315.9970238095236,119.58581349206345,100.90767609126986,138.5888516865079,20,0,0
high_only_3_cells,CQI_kmeans_published,1196.4112103174602,0.0,0.0,0.0,0,20,0
high_only_3_cells,Candidate_union_final,1233.6309523809525,37.21974206349207,32.46279761904766,42.321490575396766,20,0,0
high_only_3_cells,OptimalCutpoint_upperbound,1372.8819444444446,176.4707341269841,159.92540922619048,192.93656994047615,20,0,0
all_9_cells,NoGrouping_single_group,1923.8888888888891,-852.375992063492,-879.2800305886242,-825.8233300264549,0,0,20
all_9_cells,MethodA_proxy_kmeans,2521.035879629629,-255.22900132275126,-264.3199611441799,-246.75582837301587,0,0,20
all_9_cells,MethodB_cutpoint_stddev,2872.2734788359785,96.0085978835979,83.49501901455041,108.64585400132272,20,0,0
all_9_cells,CQI_kmeans_published,2776.2648809523807,0.0,0.0,0.0,0,20,0
all_9_cells,Candidate_union_final,2836.0978835978835,59.83300264550273,53.244833002645684,66.76508763227505,20,0,0
all_9_cells,OptimalCutpoint_upperbound,2975.705191798942,199.44031084656103,189.74772652116425,210.17305307539692,20,0,0
