dispersion,load,method,mean_utility,mean_diff_vs_cqi,diff_vs_cqi_ci95_low,diff_vs_cqi_ci95_high,seeds_win_vs_cqi,seeds_tie_vs_cqi,seeds_loss_vs_cqi,mean_diff_vs_3way,diff_vs_3way_ci95_low,diff_vs_3way_ci95_high,seeds_win_vs_3way,seeds_tie_vs_3way,seeds_loss_vs_3way
high,light,CQI+cost+switching 3-way union,0.42238972596730695,0.031066546824385262,0.026582347134698436,0.035454816069919744,20,0,0,0.0,0.0,0.0,0,20,0
high,light,CQI+cost+regret-graph 3-way union,0.43428338938832206,0.04296021024540033,0.03775422184574697,0.04787686113289884,20,0,0,0.011893663421015072,0.008380291718755145,0.01564576536725588,18,0,2
high,light,CQI+cost+switching+regret-graph 4-way union,0.4361833956995037,0.04486021655658202,0.04018899863866472,0.04929395479762083,20,0,0,0.013793669732196761,0.010581406644987168,0.0171760064692491,20,0,0
high,medium,CQI k-means,0.2155467701183802,0.0,0.0,0.0,0,20,0,-0.020691451352590616,-0.026413606633824197,-0.015090617986252311,0,0,20
high,medium,CQI+cost 2-way union,0.23124399704930054,0.01569722693092035,0.009920219970706296,0.021464996637130893,18,0,2,-0.004994224421670267,-0.007663962347626328,-0.002572158634278904,3,3,14
high,medium,CQI+cost+switching 3-way union,0.2362382214709708,0.020691451352590616,0.015130333544080613,0.026476912879063536,20,0,0,0.0,0.0,0.0,0,20,0
high,medium,CQI+cost+regret-graph 3-way union,0.24702652028871902,0.03147975017033879,0.025839147535436927,0.037801331304884965,20,0,0,0.010788298817748183,0.007187554128042866,0.014496033790944702,19,0,1
high,medium,CQI+cost+switching+regret-graph 4-way union,0.2488807806441385,0.03333401052575826,0.02776055712683098,0.03936160649423065,20,0,0,0.012642559173167645,0.009117851288152304,0.01633961629130442,20,0,0
high,heavy,CQI k-means,-0.12711623876228287,0.0,0.0,0.0,0,20,0,-0.05050382151669475,-0.06984824392167223,-0.03297524947312636,2,0,18
high,heavy,CQI+cost 2-way union,-0.0766928469274322,0.05042339183485067,0.03301073757229634,0.07011582776733731,19,0,1,-8.04296818440799e-05,-0.0004127071419085944,0.00023094190590016404,1,17,2
high,heavy,CQI+cost+switching 3-way union,-0.07661241724558812,0.05050382151669475,0.03292254941504677,0.07005838484913154,18,0,2,0.0,0.0,0.0,0,20,0
high,heavy,CQI+cost+regret-graph 3-way union,-0.03863846343018331,0.08847777533209958,0.06613724621720922,0.11208447552467433,19,0,1,0.03797395381540482,0.026607146522848877,0.04955493436066655,19,0,1
high,heavy,CQI+cost+switching+regret-graph 4-way union,-0.038623965336462895,0.08849227342582001,0.0657819382870632,0.11206638262380639,19,0,1,0.03798845190912523,0.026780785665729896,0.049825202597829917,20,0,0
