cqi_range_bucket,scenario_count,multi_group_count,multi_group_ratio,mean_teacher_group_count,mean_teacher_gain_vs_single,max_teacher_gain_vs_single
0,164,0,0.0,1.0,0.0,0.0
1,307,0,0.0,1.0,3.6163616437301518e-19,1.1102230246251565e-16
2,181,0,0.0,1.0,-1.1654274844131477e-17,1.1102230246251565e-16
3+,178,30,0.16853932584269662,1.1685393258426966,0.010738035577946219,0.07945174187052606
