scenario_mode,load_level,rb_budget_ratio,seed,test_index,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups,teacher_group_signature,predicted_group_signature,teacher_group_json,predicted_group_json,teacher_utility,predicted_utility,utility_gap_vs_teacher
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,0,3,history_cost_quality,Multi-feature k-means,1.0,1.0,0.9999999999999999,2,2,0|1|2 / 3|4,0|1|2 / 3|4,"[[0, 1, 2], [4, 3]]","[[0, 1, 2], [3, 4]]",0.6198214236671593,0.6198214236671593,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,0,3,history_cost_quality,LE-GRA MVP,1.0,1.0,0.9999999999999999,2,2,0|1|2 / 3|4,3|4 / 0|1|2,"[[0, 1, 2], [4, 3]]","[[3, 4], [0, 1, 2]]",0.6198214236671593,0.6198214236671593,0.0
