mode,dispersion,seed,scenario_index,method,utility
aligned,mid_v2,1,19,Multi-feature k-means,0.7222101166842043
aligned,mid_v2,1,19,CQI+cost hybrid (2-way),0.7527506041175935
aligned,mid_v2,1,19,CQI+cost+RBprofile hybrid (3-way),0.7527506041175935
aligned,mid_v2,2,0,CQI k-means,0.7261795340677223
aligned,mid_v2,2,0,Multi-feature k-means,0.7734441519290417
aligned,mid_v2,2,0,CQI+cost hybrid (2-way),0.80578310099205
aligned,mid_v2,2,0,CQI+cost+RBprofile hybrid (3-way),0.80578310099205
aligned,mid_v2,2,1,CQI k-means,0.7319640096637237
aligned,mid_v2,2,1,Multi-feature k-means,0.7487470924654709
aligned,mid_v2,2,1,CQI+cost hybrid (2-way),0.7330851026110574
aligned,mid_v2,2,1,CQI+cost+RBprofile hybrid (3-way),0.7330851026110574
aligned,mid_v2,2,2,CQI k-means,0.7313338122007741
aligned,mid_v2,2,2,Multi-feature k-means,0.7437718695327004
aligned,mid_v2,2,2,CQI+cost hybrid (2-way),0.7548838404851509
aligned,mid_v2,2,2,CQI+cost+RBprofile hybrid (3-way),0.7548838404851509
aligned,mid_v2,2,3,CQI k-means,0.7681108185957084
aligned,mid_v2,2,3,Multi-feature k-means,0.7681108185957084
aligned,mid_v2,2,3,CQI+cost hybrid (2-way),0.7564170377522341
aligned,mid_v2,2,3,CQI+cost+RBprofile hybrid (3-way),0.7564170377522341
aligned,mid_v2,2,4,CQI k-means,0.7187808705313686
aligned,mid_v2,2,4,Multi-feature k-means,0.7437578656974435
aligned,mid_v2,2,4,CQI+cost hybrid (2-way),0.7505348720923778
aligned,mid_v2,2,4,CQI+cost+RBprofile hybrid (3-way),0.7505348720923778
aligned,mid_v2,2,5,CQI k-means,0.6999700860705363
aligned,mid_v2,2,5,Multi-feature k-means,0.7273338122007741
aligned,mid_v2,2,5,CQI+cost hybrid (2-way),0.7571851497973968
aligned,mid_v2,2,5,CQI+cost+RBprofile hybrid (3-way),0.7571851497973968
aligned,mid_v2,2,6,CQI k-means,0.6967532476961577
aligned,mid_v2,2,6,Multi-feature k-means,0.714099587136359
aligned,mid_v2,2,6,CQI+cost hybrid (2-way),0.7338577690084918
aligned,mid_v2,2,6,CQI+cost+RBprofile hybrid (3-way),0.7338577690084918
aligned,mid_v2,2,7,CQI k-means,0.705226982931456
aligned,mid_v2,2,7,Multi-feature k-means,0.7354633132665966
aligned,mid_v2,2,7,CQI+cost hybrid (2-way),0.7901907655270719
aligned,mid_v2,2,7,CQI+cost+RBprofile hybrid (3-way),0.7901907655270719
aligned,mid_v2,2,8,CQI k-means,0.7205740324678118
aligned,mid_v2,2,8,Multi-feature k-means,0.7439509247329817
aligned,mid_v2,2,8,CQI+cost hybrid (2-way),0.7638378126288068
aligned,mid_v2,2,8,CQI+cost+RBprofile hybrid (3-way),0.7638378126288068
aligned,mid_v2,2,9,CQI k-means,0.7127662538030256
aligned,mid_v2,2,9,Multi-feature k-means,0.7500804257988043
aligned,mid_v2,2,9,CQI+cost hybrid (2-way),0.739987270074314
aligned,mid_v2,2,9,CQI+cost+RBprofile hybrid (3-way),0.739987270074314
aligned,mid_v2,2,10,CQI k-means,0.7014329204696923
aligned,mid_v2,2,10,Multi-feature k-means,0.7213338122007742
aligned,mid_v2,2,10,CQI+cost hybrid (2-way),0.7557503710855673
