scope,method,mean_utility,mean_diff_vs_cqi,diff_vs_cqi_ci95_low,diff_vs_cqi_ci95_high,seeds_win_vs_cqi,seeds_tie_vs_cqi,seeds_loss_vs_cqi,mean_diff_vs_2way,diff_vs_2way_ci95_low,diff_vs_2way_ci95_high,seeds_win_vs_2way,seeds_tie_vs_2way,seeds_loss_vs_2way,mean_diff_vs_3way,diff_vs_3way_ci95_low,diff_vs_3way_ci95_high,seeds_win_vs_3way,seeds_tie_vs_3way,seeds_loss_vs_3way
all_9_cells,CQI k-means,0.4664789561441923,0.0,0.0,0.0,0,20,0,-0.014294831634441951,-0.01634438340826587,-0.012143548385761005,0,0,20,-0.015362093256447395,-0.017554419703181327,-0.01315816950735116,0,0,20
all_9_cells,CQI+cost 2-way union,0.48077378777863433,0.014294831634441951,0.012145359129364887,0.016407234054775156,20,0,0,0.0,0.0,0.0,0,20,0,-0.0010672616220054442,-0.0015358983150948274,-0.0005664517034614762,4,0,16
all_9_cells,CQI+cost+switching 3-way union,0.4818410494006399,0.015362093256447395,0.013193043817613647,0.01755204497639946,20,0,0,0.0010672616220054442,0.0005608869902745818,0.001540652816203754,16,0,4,0.0,0.0,0.0,0,20,0
all_9_cells,"Conditional switching gate (fixed eta=.020, confirmatory)",0.4819641181907791,0.015485162046586648,0.013322863064059548,0.017635943462727576,20,0,0,0.0011903304121446967,0.0008588482124967058,0.0015317857440794525,19,1,0,0.00012306879013925242,-0.00016204408245595927,0.0004178532626441263,13,0,7
mid_high_6_cells,CQI k-means,0.3286424894895996,0.0,0.0,0.0,0,20,0,-0.021029150062518577,-0.024305883554695425,-0.017648762748677185,0,0,20,-0.022630042495526744,-0.026022899043169866,-0.019182858138096302,0,0,20
mid_high_6_cells,CQI+cost 2-way union,0.34967163955211816,0.021029150062518577,0.017692634739450423,0.024304205886542612,20,0,0,0.0,0.0,0.0,0,20,0,-0.0016008924330081665,-0.00230868157616678,-0.0008500158086627602,4,0,16
mid_high_6_cells,CQI+cost+switching 3-way union,0.3512725319851263,0.022630042495526744,0.019202161149173263,0.025944754707021445,20,0,0,0.0016008924330081665,0.0008577389468900577,0.0023178497033483044,16,0,4,0.0,0.0,0.0,0,20,0
mid_high_6_cells,"Conditional switching gate (fixed eta=.020, confirmatory)",0.3514571351703353,0.022814645680735633,0.019372515717227444,0.026126713003333232,20,0,0,0.0017854956182170533,0.0012793488248821925,0.0022983185644193486,19,1,0,0.00018460318520888697,-0.00025470451276845125,0.0006278830867618648,13,0,7
