dispersion,load,seed,step,is_warmup,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency,fairness,avg_switching,quality_switch_rate,quality_change_levels,pairwise_group_churn,groups,eta,eta_label,best_2way_candidate_utility,best_switching_candidate_utility,switching_margin,switching_admitted,selected_source,unique_candidate_count
low,light,seed_0011,14,0,"Conditional switching gate (fixed eta=.020, confirmatory)",0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1,0.02,eta_0.020,0.9290781116502739,0.9290781116502739,0.0,0,two_way,4
low,medium,seed_0011,0,1,CQI k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0,0.6,1.0,3.0,0.0,1,,,,,,,,
low,medium,seed_0011,1,0,CQI k-means,0.8290781116502739,5800.0,1.0,4.0,128.88888888888889,1.0,0.20000000000000004,1.0,1.0,0.0,1,,,,,,,,
low,medium,seed_0011,2,0,CQI k-means,0.6471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0,0.20000000000000004,1.0,1.0,0.0,1,,,,,,,,
low,medium,seed_0011,3,0,CQI k-means,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,4,0,CQI k-means,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,5,0,CQI k-means,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,6,0,CQI k-means,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,7,0,CQI k-means,0.8290781116502739,5800.0,1.0,4.0,128.88888888888889,1.0,0.20000000000000004,1.0,1.0,0.0,1,,,,,,,,
low,medium,seed_0011,8,0,CQI k-means,0.6471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0,0.20000000000000004,1.0,1.0,0.0,1,,,,,,,,
low,medium,seed_0011,9,0,CQI k-means,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,10,0,CQI k-means,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,11,0,CQI k-means,0.8290781116502739,5800.0,1.0,4.0,128.88888888888889,1.0,0.20000000000000004,1.0,1.0,0.0,1,,,,,,,,
low,medium,seed_0011,12,0,CQI k-means,0.6471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0,0.20000000000000004,1.0,1.0,0.0,1,,,,,,,,
low,medium,seed_0011,13,0,CQI k-means,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,14,0,CQI k-means,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,0,1,CQI+cost 2-way union,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0,0.6,1.0,3.0,0.0,1,,,,,,,,
low,medium,seed_0011,1,0,CQI+cost 2-way union,0.8290781116502739,5800.0,1.0,4.0,128.88888888888889,1.0,0.20000000000000004,1.0,1.0,0.0,1,,,,,,,,
low,medium,seed_0011,2,0,CQI+cost 2-way union,0.8070331903315124,5558.333333333333,0.9583333333333334,4.0,123.51851851851852,0.9583333333333334,0.0,0.0,0.0,0.08333333333333333,2,,,,,,,,
low,medium,seed_0011,3,0,CQI+cost 2-way union,0.6471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0,0.20000000000000004,1.0,1.0,0.08333333333333333,1,,,,,,,,
low,medium,seed_0011,4,0,CQI+cost 2-way union,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,5,0,CQI+cost 2-way union,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,6,0,CQI+cost 2-way union,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,7,0,CQI+cost 2-way union,0.8290781116502739,5800.0,1.0,4.0,128.88888888888889,1.0,0.20000000000000004,1.0,1.0,0.0,1,,,,,,,,
low,medium,seed_0011,8,0,CQI+cost 2-way union,0.6471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0,0.20000000000000004,1.0,1.0,0.0,1,,,,,,,,
low,medium,seed_0011,9,0,CQI+cost 2-way union,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,10,0,CQI+cost 2-way union,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,11,0,CQI+cost 2-way union,0.8290781116502739,5800.0,1.0,4.0,128.88888888888889,1.0,0.20000000000000004,1.0,1.0,0.0,1,,,,,,,,
low,medium,seed_0011,12,0,CQI+cost 2-way union,0.6471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0,0.20000000000000004,1.0,1.0,0.0,1,,,,,,,,
low,medium,seed_0011,13,0,CQI+cost 2-way union,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,14,0,CQI+cost 2-way union,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,0,1,CQI+cost+switching 3-way union,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0,0.6,1.0,3.0,0.0,1,,,,,,,,
low,medium,seed_0011,1,0,CQI+cost+switching 3-way union,0.8290781116502739,5800.0,1.0,4.0,128.88888888888889,1.0,0.20000000000000004,1.0,1.0,0.0,1,,,,,,,,
low,medium,seed_0011,2,0,CQI+cost+switching 3-way union,0.8070331903315124,5558.333333333333,0.9583333333333334,4.0,123.51851851851852,0.9583333333333334,0.0,0.0,0.0,0.08333333333333333,2,,,,,,,,
low,medium,seed_0011,3,0,CQI+cost+switching 3-way union,0.6471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0,0.20000000000000004,1.0,1.0,0.08333333333333333,1,,,,,,,,
low,medium,seed_0011,4,0,CQI+cost+switching 3-way union,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,5,0,CQI+cost+switching 3-way union,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,6,0,CQI+cost+switching 3-way union,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,7,0,CQI+cost+switching 3-way union,0.8290781116502739,5800.0,1.0,4.0,128.88888888888889,1.0,0.20000000000000004,1.0,1.0,0.0,1,,,,,,,,
low,medium,seed_0011,8,0,CQI+cost+switching 3-way union,0.6471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0,0.20000000000000004,1.0,1.0,0.0,1,,,,,,,,
low,medium,seed_0011,9,0,CQI+cost+switching 3-way union,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,10,0,CQI+cost+switching 3-way union,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,11,0,CQI+cost+switching 3-way union,0.8290781116502739,5800.0,1.0,4.0,128.88888888888889,1.0,0.20000000000000004,1.0,1.0,0.0,1,,,,,,,,
low,medium,seed_0011,12,0,CQI+cost+switching 3-way union,0.6471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0,0.20000000000000004,1.0,1.0,0.0,1,,,,,,,,
low,medium,seed_0011,13,0,CQI+cost+switching 3-way union,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,14,0,CQI+cost+switching 3-way union,0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,,,,,,,,
low,medium,seed_0011,0,1,"Conditional switching gate (fixed eta=.020, confirmatory)",0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0,0.6,1.0,3.0,0.0,1,0.02,eta_0.020,0.4471841780840183,0.4471841780840183,0.0,0,two_way,4
low,medium,seed_0011,1,0,"Conditional switching gate (fixed eta=.020, confirmatory)",0.8290781116502739,5800.0,1.0,4.0,128.88888888888889,1.0,0.20000000000000004,1.0,1.0,0.0,1,0.02,eta_0.020,0.8290781116502739,0.8290781116502739,0.0,0,two_way,2
low,medium,seed_0011,2,0,"Conditional switching gate (fixed eta=.020, confirmatory)",0.8070331903315124,5558.333333333333,0.9583333333333334,4.0,123.51851851851852,0.9583333333333334,0.0,0.0,0.0,0.08333333333333333,2,0.02,eta_0.020,0.8070331903315124,0.6471841780840183,-0.15984901224749415,0,two_way,4
low,medium,seed_0011,3,0,"Conditional switching gate (fixed eta=.020, confirmatory)",0.6471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0,0.20000000000000004,1.0,1.0,0.08333333333333333,1,0.02,eta_0.020,0.6471841780840183,0.6471841780840183,0.0,0,two_way,3
low,medium,seed_0011,4,0,"Conditional switching gate (fixed eta=.020, confirmatory)",0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,0.02,eta_0.020,0.7471841780840182,0.7471841780840182,0.0,0,two_way,4
low,medium,seed_0011,5,0,"Conditional switching gate (fixed eta=.020, confirmatory)",0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,0.02,eta_0.020,0.7471841780840182,0.7471841780840182,0.0,0,two_way,3
low,medium,seed_0011,6,0,"Conditional switching gate (fixed eta=.020, confirmatory)",0.7471841780840182,3000.0,1.0,3.0,66.66666666666667,1.0,0.0,0.0,0.0,0.0,1,0.02,eta_0.020,0.7471841780840182,0.7471841780840182,0.0,0,two_way,3
low,medium,seed_0011,7,0,"Conditional switching gate (fixed eta=.020, confirmatory)",0.8290781116502739,5800.0,1.0,4.0,128.88888888888889,1.0,0.20000000000000004,1.0,1.0,0.0,1,0.02,eta_0.020,0.8290781116502739,0.8290781116502739,0.0,0,two_way,2
low,medium,seed_0011,8,0,"Conditional switching gate (fixed eta=.020, confirmatory)",0.6471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0,0.20000000000000004,1.0,1.0,0.0,1,0.02,eta_0.020,0.6471841780840183,0.6471841780840183,0.0,0,two_way,2
