dispersion,seed,scenario_index,fast_utility,multikey_utility,winning_key,No grouping,CQI k-means,Resource-cost k-means,Multi-feature k-means,LE-GRA MVP
low,1,0,0.9332482288996723,0.9522459285111842,cqi,0.9326666666666669,0.9522459285111842,0.9326666666666669,0.9450969728477964,0.9398392675404009
low,1,1,0.9377446866990166,0.9544161373785065,cqi,0.9360000000000003,0.9423971845630603,0.9375508326213481,0.9472435365047727,0.9375508326213481
low,1,2,0.9332718741100183,0.9513003033331877,cqi,0.9313333333333337,0.9513003033331877,0.9332718741100183,0.94335228614878,0.9332718741100183
low,1,3,0.9368841659546816,0.9539433247895084,cqi,0.9353333333333335,0.9425059342070676,0.9368841659546814,0.9428936423624047,0.9368841659546814
low,1,4,0.9342174992880149,0.9520520744335156,cqi,0.9326666666666668,0.9404208297734065,0.9336359370550091,0.944879473559782,0.9342174992880147
low,1,5,0.9365201030096906,0.9531915536891805,cqi,0.9340000000000002,0.9423357253397453,0.9361323948543535,0.9448558283494356,0.9361323948543535
low,1,6,0.9262884349190531,0.9446809270872135,cqi,0.9220000000000003,0.9330496824271042,0.9249078111650275,0.9328558283494359,0.9249078111650275
low,1,7,0.9365201030096906,0.9531915536891805,cqi,0.9340000000000002,0.9398156223300547,0.9353569785436794,0.9439102031714394,0.935938540776685
low,1,8,0.9326052074433516,0.9508274907441898,cqi,0.9306666666666669,0.9384208297734066,0.9324113533656834,0.9409409327830969,0.9324113533656834
low,1,9,0.9314420829773408,0.9508274907441898,cqi,0.9306666666666669,0.939002392006412,0.9310543748220038,0.9426856194821134,0.9314420829773408
low,1,10,0.934652497864044,0.9513003033331877,cqi,0.9313333333333337,0.9383120801293994,0.9324964577993444,0.9414137453720951,0.9324964577993444
low,1,11,0.931900726763716,0.9508274907441898,cqi,0.9306666666666669,0.9384208297734066,0.9306666666666669,0.945787284724809,0.9312482288996724
low,1,12,0.9348841659546814,0.9527187411001823,cqi,0.9333333333333336,0.9414752045954102,0.9344964577993444,0.9467329099028052,0.9344964577993444
low,1,13,0.9337446866990168,0.951773115922186,cqi,0.932,0.9393664549514028,0.932,0.9447943691261206,0.9333569785436797
low,1,14,0.937574477831694,0.9536643662781789,cqi,0.934666666666667,0.9420331216180695,0.9369929155986889,0.9424208297734066,0.9369929155986889
low,1,15,0.9340472904206923,0.9511064492555192,cqi,0.9313333333333335,0.9385059342070678,0.9313333333333335,0.9408321831390896,0.93307802003235
low,1,16,0.9369078111650272,0.9531915536891805,cqi,0.9340000000000002,0.9423357253397453,0.9357446866990167,0.9438865579610933,0.9357446866990167
low,1,17,0.9335508326213481,0.951773115922186,cqi,0.9320000000000005,0.9399480171844086,0.9331631244660112,0.9430496824271042,0.9331631244660112
low,1,18,0.9359621859870311,0.952997699611512,cqi,0.9340000000000002,0.94175416310674,0.9340000000000002,0.9466005150484521,0.9349692703883424
low,1,19,0.9362174992880148,0.9536643662781789,cqi,0.934666666666667,0.9428085379287434,0.934666666666667,0.946127702459454,0.9362174992880146
low,2,0,0.9379621859870311,0.9546099914561751,cqi,0.936,0.9439480171844084,0.936,0.9451347868607654,0.9369692703883424
low,2,1,0.9338534363430236,0.9509125951778508,cqi,0.9313333333333335,0.9381182260517308,0.9332718741100184,0.9406383290614211,0.9332718741100184
low,2,2,0.94307802003235,0.9583924921681607,cqi,0.9413333333333335,0.9492813505177418,0.9413333333333335,0.9519953076051008,0.94307802003235
low,2,3,0.9266903118770129,0.9468511359545357,cqi,0.9253333333333336,0.9317305178963939,0.926302603721676,0.9365768698381061,0.9264964577993445
low,2,4,0.9344964577993443,0.9523310329448454,cqi,0.9333333333333333,0.9414752045954102,0.9333333333333333,0.9447707239157745,0.9344964577993443
low,2,5,0.9326903118770129,0.9513003033331877,cqi,0.9313333333333335,0.9394752045954101,0.9313333333333335,0.9419953076051008,0.9326903118770129
low,2,6,0.9362174992880148,0.9536643662781789,cqi,0.934666666666667,0.9428085379287434,0.934666666666667,0.9462979113267764,0.9362174992880148
low,2,7,0.9281560400646997,0.9475178026212023,cqi,0.9260000000000003,0.9339480171844083,0.9260000000000003,0.9362742661164303,0.9273569785436795
low,2,8,0.9335508326213481,0.9515792618445176,cqi,0.932,0.9403357253397454,0.9335508326213483,0.9432435365047728,0.9335508326213483
low,2,9,0.9346903118770128,0.9527187411001823,cqi,0.9333333333333336,0.9401182260517307,0.9341087496440075,0.9416927038834247,0.9344964577993443
low,2,10,0.9341323948543535,0.9511915536891805,cqi,0.932,0.9399480171844083,0.932,0.943437390582441,0.9341323948543536
low,2,11,0.9245201030096905,0.9444870730095448,cqi,0.9220000000000003,0.9326619742717673,0.9241323948543535,0.9324681201940989,0.9241323948543535
low,2,12,0.9394420829773407,0.9563073877344993,cqi,0.9386666666666668,0.9563073877344993,0.9386666666666668,0.9485532246277599,0.9394420829773407
low,2,13,0.9250780200323501,0.9454326981875412,cqi,0.9233333333333336,0.9326383290614211,0.9241087496440075,0.9369031187701279,0.9244964577993446
low,2,14,0.9336595822653555,0.9513003033331877,cqi,0.9313333333333337,0.9404444749837529,0.9323026037216757,0.9452908269254648,0.9326903118770129
low,2,15,0.9370780200323501,0.954137178867177,cqi,0.9353333333333336,0.9430874964400732,0.9368841659546814,0.9485154106147907,0.9368841659546814
low,2,16,0.9337446866990164,0.9515792618445176,cqi,0.9320000000000003,0.9411111416504195,0.9320000000000003,0.9411111416504195,0.9337446866990164
