dispersion,n_scenarios,fast_loses_pct,multikey_loses_pct,mean_fast_utility,mean_multikey_utility,fast_pct_of_best,multikey_pct_of_best,best_other_mean_utility
low,600,100.0,0.0,0.9336959410251192,0.9515061418067063,98.12820958278111,100.0,0.9429419050983031
mid_v2,600,1.3333333333333333,0.0,0.7752329362039855,0.7780811261053655,99.63394692329366,100.0,0.7358854228389937
high,600,0.3333333333333333,0.16666666666666666,0.439624868984127,0.4416733370411625,99.53620291621891,100.0,0.3755688029539793
