cqi_range_bucket,scenario_count,multi_group_count,multi_group_ratio,mean_teacher_group_count,mean_teacher_gain_vs_single,max_teacher_gain_vs_single
0,156,0,0.0,1.0,0.0,0.0
1,262,0,0.0,1.0,0.0,0.0
2,147,0,0.0,1.0,-3.021015032993623e-18,0.0
3+,255,12,0.047058823529411764,1.0470588235294118,0.0018168707565557106,0.038608503576809006
