dispersion,load,seed,method,mean_utility,n_scenarios
high,heavy,seed_0009,Trend-volatility k-means,-0.16666666666666666,15
high,heavy,seed_0009,Trend-downside-deviation k-means,-0.16368144889243014,15
high,heavy,seed_0009,Trend-only union (CQI+slope+volatility+downside),-0.1255380652076131,15
high,heavy,seed_0009,"CQI+cost+regret-graph 3-way union (ablation, no switching)",-0.05000000000000001,15
high,heavy,seed_0009,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),-0.05000000000000001,15
high,heavy,seed_0009,"CQI+cost+regret-graph+trend union (ablation, no switching)",-0.047014782225763475,15
high,heavy,seed_0009,CQI+cost+switching+regret-graph+trend union,-0.047014782225763475,15
high,heavy,seed_0010,CQI k-means,-0.2388872904099143,15
high,heavy,seed_0010,Trend-slope k-means,-0.3467652148384231,15
high,heavy,seed_0010,Trend-volatility k-means,-0.32072961333510397,15
high,heavy,seed_0010,Trend-downside-deviation k-means,-0.2388888888888889,15
high,heavy,seed_0010,Trend-only union (CQI+slope+volatility+downside),-0.15688125335812206,15
high,heavy,seed_0010,"CQI+cost+regret-graph 3-way union (ablation, no switching)",-0.06575425037804307,15
high,heavy,seed_0010,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),-0.06575425037804307,15
high,heavy,seed_0010,"CQI+cost+regret-graph+trend union (ablation, no switching)",-0.046599902232845956,15
high,heavy,seed_0010,CQI+cost+switching+regret-graph+trend union,-0.046599902232845956,15
high,light,seed_0001,CQI k-means,0.2904803594186004,15
high,light,seed_0001,Trend-slope k-means,0.24264134561322598,15
high,light,seed_0001,Trend-volatility k-means,0.20870019356267114,15
high,light,seed_0001,Trend-downside-deviation k-means,0.22897767409118633,15
high,light,seed_0001,Trend-only union (CQI+slope+volatility+downside),0.29089275410614057,15
high,light,seed_0001,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.3037285059832112,15
high,light,seed_0001,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.3037285059832112,15
high,light,seed_0001,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.3037285059832112,15
high,light,seed_0001,CQI+cost+switching+regret-graph+trend union,0.3037285059832112,15
high,light,seed_0002,CQI k-means,0.2567178420067041,15
high,light,seed_0002,Trend-slope k-means,0.20275453944089034,15
high,light,seed_0002,Trend-volatility k-means,0.18662205933457646,15
high,light,seed_0002,Trend-downside-deviation k-means,0.18376404940566746,15
high,light,seed_0002,Trend-only union (CQI+slope+volatility+downside),0.2567178420067041,15
high,light,seed_0002,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.27319535776037684,15
high,light,seed_0002,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.27319535776037684,15
high,light,seed_0002,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.27319535776037684,15
high,light,seed_0002,CQI+cost+switching+regret-graph+trend union,0.27319535776037684,15
high,light,seed_0003,CQI k-means,0.28591679858032315,15
high,light,seed_0003,Trend-slope k-means,0.21953084486503707,15
high,light,seed_0003,Trend-volatility k-means,0.21230313494330166,15
high,light,seed_0003,Trend-downside-deviation k-means,0.2155887168529866,15
high,light,seed_0003,Trend-only union (CQI+slope+volatility+downside),0.28591679858032315,15
high,light,seed_0003,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.30787901355062464,15
high,light,seed_0003,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.30787901355062464,15
high,light,seed_0003,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.30787901355062464,15
high,light,seed_0003,CQI+cost+switching+regret-graph+trend union,0.30787901355062464,15
high,light,seed_0004,CQI k-means,0.2761601281753829,15
high,light,seed_0004,Trend-slope k-means,0.22589069004068776,15
high,light,seed_0004,Trend-volatility k-means,0.2032557713376168,15
high,light,seed_0004,Trend-downside-deviation k-means,0.19564131657994982,15
high,light,seed_0004,Trend-only union (CQI+slope+volatility+downside),0.27739045408822194,15
high,light,seed_0004,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.2903293520427984,15
high,light,seed_0004,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.2903293520427984,15
high,light,seed_0004,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.2908205279462381,15
high,light,seed_0004,CQI+cost+switching+regret-graph+trend union,0.2908205279462381,15
high,light,seed_0005,CQI k-means,0.2678071023582607,15
