dispersion,load,method,mean_utility,std_utility_across_seeds,mean_diff_vs_cqi,seeds_win_vs_cqi,seeds_tie_vs_cqi,seeds_loss_vs_cqi,mean_diff_vs_base4way,seeds_win_vs_base4way,seeds_tie_vs_base4way,seeds_loss_vs_base4way
mid,heavy,Trend-slope k-means,0.16398796306472677,0.009033264381065846,-0.007753300582736117,0,0,10,-0.009820058492210171,0,0,10
mid,heavy,Trend-volatility k-means,0.16383043654573606,0.0109286545540466,-0.0079108271017268,0,0,10,-0.009977585011200853,0,0,10
mid,heavy,Trend-downside-deviation k-means,0.1639796974344479,0.00848139244720288,-0.007761566213014976,0,0,10,-0.009828324122489029,0,0,10
mid,heavy,Trend-only union (CQI+slope+volatility+downside),0.17213929268402772,0.003991716448374658,0.00039802903656487867,4,6,0,-0.0016687288729091755,2,3,5
mid,heavy,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.17380802155693692,0.003713991114503109,0.002066757909474054,5,5,0,0.0,0,10,0
mid,heavy,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.17380802155693692,0.003713991114503109,0.002066757909474054,5,5,0,0.0,0,10,0
mid,heavy,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.17390752881607813,0.0036203332305004094,0.0021662651686152777,7,3,0,9.950725914122383e-05,2,8,0
mid,heavy,CQI+cost+switching+regret-graph+trend union,0.17390752881607813,0.0036203332305004094,0.0021662651686152777,7,3,0,9.950725914122383e-05,2,8,0
high,light,CQI k-means,0.27787631554539594,0.012140926632756554,0.0,0,10,0,-0.017710082740085252,0,0,10
high,light,Trend-slope k-means,0.2238402461478637,0.013433204134475782,-0.054036069397532215,0,0,10,-0.07174615213761747,0,0,10
high,light,Trend-volatility k-means,0.20836122363462434,0.013699591056535666,-0.06951509191077154,0,0,10,-0.0872251746508568,0,0,10
high,light,Trend-downside-deviation k-means,0.21190970075121615,0.017190298446897942,-0.06596661479417973,0,0,10,-0.08367669753426497,0,0,10
high,light,Trend-only union (CQI+slope+volatility+downside),0.27853939597959315,0.011949697297890229,0.0006630804341972829,6,4,0,-0.01704700230588797,0,0,10
high,light,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.29558639828548117,0.012950191828479419,0.017710082740085252,10,0,0,0.0,0,10,0
high,light,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.29558639828548117,0.012950191828479419,0.017710082740085252,10,0,0,0.0,0,10,0
high,light,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.29563551587582515,0.012931077076021593,0.01775920033042922,10,0,0,4.9117590343966675e-05,1,9,0
high,light,CQI+cost+switching+regret-graph+trend union,0.29563551587582515,0.012931077076021593,0.01775920033042922,10,0,0,4.9117590343966675e-05,1,9,0
high,medium,CQI k-means,0.16096997608007557,0.017968143264821795,0.0,0,10,0,-0.016564302259550384,0,0,10
high,medium,Trend-slope k-means,0.12313465428377743,0.017325281473534928,-0.03783532179629812,0,0,10,-0.05439962405584851,0,0,10
high,medium,Trend-volatility k-means,0.11552283954914062,0.017736101771518246,-0.04544713653093494,0,0,10,-0.06201143879048532,0,0,10
high,medium,Trend-downside-deviation k-means,0.11884106778893211,0.02324898761257693,-0.04212890829114345,0,0,10,-0.05869321055069382,0,0,10
high,medium,Trend-only union (CQI+slope+volatility+downside),0.1642448110825628,0.015859253760701426,0.003274835002487256,8,2,0,-0.013289467257063129,0,0,10
high,medium,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.17720253995252425,0.015592220465833015,0.016232563872448705,10,0,0,-0.00033173838710167937,0,8,2
high,medium,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.17753427833962593,0.01539243930867251,0.016564302259550384,10,0,0,0.0,0,10,0
high,medium,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.17763887391258026,0.015816114179301788,0.016668897832504703,10,0,0,0.00010459557295431909,3,5,2
high,medium,CQI+cost+switching+regret-graph+trend union,0.17797061229968195,0.015609926940906628,0.01700063621960638,10,0,0,0.00043633396005599847,3,7,0
high,heavy,CQI k-means,-0.13825750402974646,0.07774332488796182,0.0,0,10,0,-0.08460117172394782,0,0,10
high,heavy,Trend-slope k-means,-0.2319564432701191,0.11244072900543454,-0.09369893924037262,0,0,10,-0.17830011096432047,0,0,10
high,heavy,Trend-volatility k-means,-0.23028183066896846,0.0959862005857125,-0.092024326639222,0,0,10,-0.17662549836316982,0,0,10
high,heavy,Trend-downside-deviation k-means,-0.22092862785338635,0.10312602370850478,-0.08267112382363992,0,0,10,-0.16727229554758774,0,0,10
high,heavy,Trend-only union (CQI+slope+volatility+downside),-0.1110273358730403,0.05434377695516425,0.027230168156706158,9,1,0,-0.057371003567241674,0,0,10
high,heavy,"CQI+cost+regret-graph 3-way union (ablation, no switching)",-0.05365633230579864,0.042873446017200494,0.08460117172394782,10,0,0,0.0,0,10,0
high,heavy,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),-0.05365633230579864,0.042873446017200494,0.08460117172394782,10,0,0,0.0,0,10,0
high,heavy,"CQI+cost+regret-graph+trend union (ablation, no switching)",-0.04905436134236351,0.04079100353384863,0.08920314268738297,10,0,0,0.004601970963435129,6,4,0
high,heavy,CQI+cost+switching+regret-graph+trend union,-0.04905436134236351,0.04079100353384863,0.08920314268738297,10,0,0,0.004601970963435129,6,4,0
