ue_id,snapshot_count,cqi_min,cqi_max,previous_quality_min,previous_quality_max,distance_min_m,distance_max_m,cost_min,cost_max
3,42,12.0,15.0,2.0,2.0,94.01,110.90,3.166667,3.500000
4,42,12.0,15.0,2.0,2.0,124.07,142.90,3.166667,3.333333
5,42,9.0,14.0,2.0,2.0,140.92,157.11,3.166667,4.000000
6,42,13.0,14.0,1.0,2.0,158.97,164.16,3.166667,3.333333
