dispersion,load,method,mean_utility,std_utility_across_seeds,mean_diff_vs_cqi,diff_vs_cqi_ci95_low,diff_vs_cqi_ci95_high,seeds_win_vs_cqi,seeds_tie_vs_cqi,seeds_loss_vs_cqi,mean_diff_vs_2way,diff_vs_2way_ci95_low,diff_vs_2way_ci95_high,seeds_win_vs_2way,seeds_tie_vs_2way,seeds_loss_vs_2way,mean_diff_vs_3way,diff_vs_3way_ci95_low,diff_vs_3way_ci95_high,seeds_win_vs_3way,seeds_tie_vs_3way,seeds_loss_vs_3way,mean_adr_kbps,mean_served_ratio,mean_average_quality,mean_system_spectral_efficiency,mean_fairness,mean_avg_switching,mean_quality_switch_rate,mean_quality_change_levels,mean_pairwise_group_churn,mean_groups,mean_switching_admission_rate
mid,light,CQI+cost+switching 3-way union,0.716813787409445,0.0073080477750470454,0.023788292484719465,0.013852717937872468,0.03426377067683123,9,0,1,-9.585877503165419e-05,-0.003587399473889396,0.0025542476859988783,5,4,1,0.0,0.0,0.0,0,10,0,3194.21130952381,1.0,2.99672619047619,35.491236772486765,0.9491570836527691,0.049702380952380956,0.175,0.24851190476190474,0.1791407867494824,1.607142857142857,nan
mid,light,Conditional switching gate (LOSO),0.7163402017587333,0.007437472370856633,0.023314706834007725,0.013583894772005597,0.03403498895942524,9,0,1,-0.0005694444257433928,-0.003893585222481477,0.0018468240903629196,2,7,1,-0.0004735856507117386,-0.0008790615031179731,-0.00011904761904760753,0,6,4,3193.7648809523807,1.0,2.996428571428571,35.48627645502645,0.9491002053458908,0.050535714285714295,0.17708333333333331,0.2526785714285714,0.18410973084886129,1.607142857142857,0.049999999999999996
mid,medium,CQI k-means,0.5186899397244118,0.017466362324206827,0.0,0.0,0.0,0,10,0,-0.023461127700432644,-0.033570946894467,-0.01611716752959845,0,0,10,-0.025022189983533377,-0.03641512187271516,-0.01568817484817509,0,0,10,1723.8839285714287,0.9994047619047619,2.0816899585921322,38.30853174603174,0.9197249218403899,0.07607142857142858,0.28124999999999994,0.38035714285714284,0.24174430641821948,1.5214285714285716,nan
mid,medium,CQI+cost 2-way union,0.5421510674248444,0.006974159878989756,0.023461127700432644,0.016068331214682367,0.033572803346753124,10,0,0,0.0,0.0,0.0,0,10,0,-0.0015610622831007336,-0.005452731497506913,0.0009114563521446795,1,7,2,1674.4642857142856,0.9988095238095237,2.0898809523809527,37.210317460317455,0.9643842204468731,0.043750000000000004,0.1773809523809524,0.21875,0.1421583850931677,1.4499999999999997,nan
mid,medium,CQI+cost+switching 3-way union,0.5437121297079451,0.010139818845685971,0.025022189983533377,0.01573041376681852,0.03651896577239607,10,0,0,0.0015610622831007336,-0.0009114563521446795,0.005452731497506913,2,7,1,0.0,0.0,0.0,0,10,0,1735.1190476190473,0.9985119047619048,2.1166666666666663,38.55820105820106,0.9510135224284554,0.044702380952380966,0.16369047619047622,0.2235119047619048,0.14396997929606623,1.4857142857142855,nan
mid,medium,Conditional switching gate (LOSO),0.5435702180040052,0.010254868074439743,0.02488027827959341,0.01571462951005597,0.03609988042717212,10,0,0,0.001419150579160766,-0.001053368056084647,0.005310819793566945,1,8,1,-0.00014191170393996756,-0.0004257351118199026,0.0,0,9,1,1734.8363095238092,0.9985119047619048,2.1163690476190475,38.55191798941799,0.9508980100643425,0.04482142857142858,0.1642857142857143,0.2241071428571429,0.14505693581780538,1.4928571428571427,0.04285714285714286
mid,heavy,CQI k-means,0.2615381277317479,0.009000210615300711,0.0,0.0,0.0,0,10,0,-0.0026781885699109164,-0.0055065065052173675,-0.00042777952361981454,0,6,4,-0.0027972361889585353,-0.005485217774236556,-0.0005952380952381264,0,5,5,537.172619047619,0.9994047619047619,0.9641951345755693,35.811507936507944,0.98564501853088,0.0125,0.06250000000000001,0.06250000000000001,0.11961697722567288,1.2142857142857142,nan
mid,heavy,CQI+cost 2-way union,0.26421631630165887,0.008335713109790421,0.0026781885699109164,0.00042777952361981454,0.005366170155188937,4,6,0,0.0,0.0,0.0,0,10,0,-0.00011904761904761863,-0.0003571428571428559,0.0,0,9,1,539.6130952380952,0.9991071428571429,0.9717261904761905,35.97420634920636,0.9881965660556192,0.00994047619047619,0.049702380952380956,0.049702380952380956,0.12080745341614907,1.292857142857143,nan
mid,heavy,CQI+cost+switching 3-way union,0.26433536392070645,0.008073515526737289,0.0027972361889585353,0.0005468271426674498,0.005495109777722631,5,5,0,0.00011904761904761863,0.0,0.0003571428571428559,1,9,0,0.0,0.0,0.0,0,10,0,539.6130952380952,0.9991071428571429,0.9717261904761905,35.97420634920636,0.9881965660556192,0.009702380952380952,0.048511904761904756,0.048511904761904756,0.11873706004140787,1.3,nan
mid,heavy,Conditional switching gate (LOSO),0.26421631630165887,0.008335713109790421,0.0026781885699109164,0.00042777952361982007,0.005373706346044549,4,6,0,0.0,0.0,0.0,0,10,0,-0.00011904761904761863,-0.0003571428571428559,0.0,0,9,1,539.6130952380952,0.9991071428571429,0.9717261904761905,35.97420634920636,0.9881965660556192,0.00994047619047619,0.049702380952380956,0.049702380952380956,0.12080745341614907,1.292857142857143,0.0
