held_out_seed,eta,eta_label,training_mean_utility,training_regret_from_best,selected
seed_0001,0.0,eta_0.000,0.4752574124720896,0.00023609857868173156,0
seed_0001,0.005,eta_0.005,0.4753230022821077,0.00017050876866359088,0
seed_0001,0.01,eta_0.010,0.47533444517759604,0.0001590658731752681,0
seed_0001,0.02,eta_0.020,0.4754935110507713,0.0,1
seed_0001,0.03,eta_0.030,0.47542528534429246,6.822570647885273e-05,0
seed_0001,0.05,eta_0.050,0.47503992295540176,0.00045358809536955036,0
seed_0001,inf,eta_inf,0.47433608695937,0.0011574240914012934,0
seed_0002,0.0,eta_0.000,0.4785401081514706,0.00019160467707896034,0
seed_0002,0.005,eta_0.005,0.47854112715329417,0.0001905856752553725,0
seed_0002,0.01,eta_0.010,0.47856961346573007,0.0001620993628194678,0
seed_0002,0.02,eta_0.020,0.47873171282854954,0.0,1
seed_0002,0.03,eta_0.030,0.4786634871220706,6.822570647896375e-05,0
seed_0002,0.05,eta_0.050,0.4783471744789604,0.00038453834958912525,0
seed_0002,inf,eta_inf,0.4778743784006944,0.0008573344278551276,0
seed_0003,0.0,eta_0.000,0.4750592818970515,0.00026340662276586047,0
seed_0003,0.005,eta_0.005,0.47512956586334515,0.00019312265647219995,0
seed_0003,0.01,eta_0.010,0.47515699217716606,0.00016569634265128919,0
seed_0003,0.02,eta_0.020,0.47532268851981735,0.0,1
seed_0003,0.03,eta_0.030,0.4752544628133384,6.822570647896375e-05,0
seed_0003,0.05,eta_0.050,0.47491036408773635,0.00041232443208100156,0
seed_0003,inf,eta_inf,0.4742065280917046,0.0011161604281127446,0
seed_0004,0.0,eta_0.000,0.47568221498870206,0.0002146555863613564,0
seed_0004,0.005,eta_0.005,0.4757478047987203,0.0001490657763431047,0
seed_0004,0.01,eta_0.010,0.4757528487284705,0.00014402184659290107,0
seed_0004,0.02,eta_0.020,0.4758968705750634,0.0,1
seed_0004,0.03,eta_0.030,0.47582864486858456,6.822570647885273e-05,0
seed_0004,0.05,eta_0.050,0.47551928347106687,0.00037758710399654616,0
seed_0004,inf,eta_inf,0.4748154474750351,0.0010814231000282892,0
seed_0005,0.0,eta_0.000,0.47715584313918175,0.0002537280992550017,0
seed_0005,0.005,eta_0.005,0.4772227372018093,0.0001868340366274479,0
seed_0005,0.01,eta_0.010,0.4772428148971704,0.00016675634126633865,0
seed_0005,0.02,eta_0.020,0.47740957123843675,0.0,1
seed_0005,0.03,eta_0.030,0.4773622361402843,4.7335098152467836e-05,0
seed_0005,0.05,eta_0.050,0.47712968035993697,0.0002798908784997778,0
seed_0005,inf,eta_inf,0.4764815635094746,0.0009280077289621214,0
seed_0006,0.0,eta_0.000,0.47543376700851975,6.388132367829424e-05,0
seed_0006,0.005,eta_0.005,0.47549764833219804,0.0,1
seed_0006,0.01,eta_0.010,0.475482746356241,1.4901975957049007e-05,0
seed_0006,0.02,eta_0.020,0.475476243202928,2.140512927006899e-05,0
seed_0006,0.03,eta_0.030,0.475408017496449,8.963083574903274e-05,0
seed_0006,0.05,eta_0.050,0.4750226551075584,0.00047499322463961935,0
seed_0006,inf,eta_inf,0.474537371366406,0.0009602769657920396,0
seed_0007,0.0,eta_0.000,0.4740599417799608,0.00020720710166083345,0
seed_0007,0.005,eta_0.005,0.47412553158997905,0.00014161729164258174,0
seed_0007,0.01,eta_0.010,0.4741603065222596,0.00010684235936203601,0
seed_0007,0.02,eta_0.020,0.47426714888162164,0.0,1
seed_0007,0.03,eta_0.030,0.4742462582732951,2.089060832655143e-05,0
seed_0007,0.05,eta_0.050,0.47386089588440444,0.00040625299721719355,0
seed_0007,inf,eta_inf,0.47329260957186514,0.0009745393097564947,0
seed_0008,0.0,eta_0.000,0.47475516374544685,0.00023772660972631865,0
seed_0008,0.005,eta_0.005,0.47482075355546505,0.00017213679970812246,0
seed_0008,0.01,eta_0.010,0.4748408312508262,0.00015205910434695769,0
seed_0008,0.02,eta_0.020,0.47499289035517317,0.0,1
seed_0008,0.03,eta_0.030,0.4749246646486942,6.822570647896375e-05,0
seed_0008,0.05,eta_0.050,0.4745505037128104,0.0004423866423627909,0
seed_0008,inf,eta_inf,0.4738827430726347,0.0011101472825384429,0
seed_0009,0.0,eta_0.000,0.47495228447878735,0.00024226744695493574,0
seed_0009,0.005,eta_0.005,0.4750080394725072,0.00018651245323508814,0
seed_0009,0.01,eta_0.010,0.4750281171678684,0.00016643475787386786,0
seed_0009,0.02,eta_0.020,0.4751945519257423,0.0,1
seed_0009,0.03,eta_0.030,0.4751263262192634,6.822570647890824e-05,0
seed_0009,0.05,eta_0.050,0.47477600375727147,0.00041854816847081144,0
seed_0009,inf,eta_inf,0.4740721677612397,0.0011223841645025545,0
seed_0010,0.0,eta_0.000,0.477160566190363,0.0002503685706428116,0
seed_0010,0.005,eta_0.005,0.47723068189231094,0.00018025286869488566,0
seed_0010,0.01,eta_0.010,0.4772588756566589,0.00015205910434690217,0
seed_0010,0.02,eta_0.020,0.4774109347610058,0.0,1
seed_0010,0.03,eta_0.030,0.47734270905452697,6.822570647885273e-05,0
seed_0010,0.05,eta_0.050,0.4769573466656363,0.00045358809536955036,0
seed_0010,inf,eta_inf,0.47628041030807344,0.00113052445293238,0
