dispersion,load,seed,method,n_transitions,mean_utility,mean_adr_kbps,mean_served_ratio,mean_average_quality,mean_system_spectral_efficiency,mean_fairness,mean_avg_switching,mean_quality_switch_rate,mean_quality_change_levels,mean_pairwise_group_churn,mean_groups,selected_eta_label,switching_admission_rate
low,heavy,seed_0008,Conditional switching gate (LOSO),14,0.5483294381457836,1495.5357142857142,0.9970238095238095,2.0,99.70238095238095,0.9970238095238095,0.0,0.0,0.0,0.011904761904761904,1.0714285714285714,eta_0.020,0.0
low,heavy,seed_0009,CQI k-means,14,0.5559363916924875,1500.0,1.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,heavy,seed_0009,CQI+cost 2-way union,14,0.5559363916924875,1500.0,1.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,heavy,seed_0009,CQI+cost+switching 3-way union,14,0.5559363916924875,1500.0,1.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,heavy,seed_0009,Conditional switching gate (LOSO),14,0.5559363916924875,1500.0,1.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,eta_0.020,0.0
low,heavy,seed_0010,CQI k-means,14,0.5559363916924875,1500.0,1.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,heavy,seed_0010,CQI+cost 2-way union,14,0.5559363916924875,1500.0,1.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,heavy,seed_0010,CQI+cost+switching 3-way union,14,0.5559363916924875,1500.0,1.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,,nan
low,heavy,seed_0010,Conditional switching gate (LOSO),14,0.5559363916924875,1500.0,1.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,eta_0.020,0.0
mid,light,seed_0001,CQI k-means,14,0.6493397710782478,2735.416666666667,0.9970238095238095,2.7797619047619047,30.393518518518512,0.9165804316166095,0.08333333333333334,0.3154761904761904,0.41666666666666663,0.3783643892339545,1.8571428571428572,,nan
mid,light,seed_0001,CQI+cost 2-way union,14,0.7082977507796278,2878.7202380952376,1.0,2.9047619047619047,31.985780423280424,0.9723417080168745,0.03571428571428571,0.11904761904761905,0.1785714285714286,0.20289855072463764,1.7857142857142858,,nan
