dispersion,seed,load,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency,fairness
low,seed_0001,light,7,No grouping,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,7,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,7,CQI k-means (k-means++),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,7,Resource-cost k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,7,Multi-feature k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,7,CQI+resource-cost hybrid (paper method),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,7,Offline teacher,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,8,No grouping,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,8,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,8,CQI k-means (k-means++),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,8,Resource-cost k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,8,Multi-feature k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,8,CQI+resource-cost hybrid (paper method),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,8,Offline teacher,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,9,No grouping,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,9,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,9,CQI k-means (k-means++),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,9,Resource-cost k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,9,Multi-feature k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,9,CQI+resource-cost hybrid (paper method),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,9,Offline teacher,0.529078111650274,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,10,No grouping,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,10,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,10,CQI k-means (k-means++),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,10,Resource-cost k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,10,Multi-feature k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,10,CQI+resource-cost hybrid (paper method),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,10,Offline teacher,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,11,No grouping,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,11,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,11,CQI k-means (k-means++),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,11,Resource-cost k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,11,Multi-feature k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,11,CQI+resource-cost hybrid (paper method),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,11,Offline teacher,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,12,No grouping,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,12,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,12,CQI k-means (k-means++),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,12,Resource-cost k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,12,Multi-feature k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,12,CQI+resource-cost hybrid (paper method),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,12,Offline teacher,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,13,No grouping,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,13,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,13,CQI k-means (k-means++),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,13,Resource-cost k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,13,Multi-feature k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,13,CQI+resource-cost hybrid (paper method),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,13,Offline teacher,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,14,No grouping,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,14,CQI k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,14,CQI k-means (k-means++),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,14,Resource-cost k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,14,Multi-feature k-means,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,14,CQI+resource-cost hybrid (paper method),0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,light,14,Offline teacher,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0
low,seed_0001,medium,0,No grouping,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,0,CQI k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,0,CQI k-means (k-means++),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,0,Resource-cost k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,0,Multi-feature k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,0,CQI+resource-cost hybrid (paper method),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,0,Offline teacher,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,1,No grouping,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,1,CQI k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,1,CQI k-means (k-means++),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,1,Resource-cost k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,1,Multi-feature k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,1,CQI+resource-cost hybrid (paper method),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,1,Offline teacher,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,2,No grouping,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,2,CQI k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,2,CQI k-means (k-means++),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,2,Resource-cost k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,2,Multi-feature k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,2,CQI+resource-cost hybrid (paper method),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,2,Offline teacher,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,3,No grouping,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,3,CQI k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,3,CQI k-means (k-means++),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,3,Resource-cost k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,3,Multi-feature k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,3,CQI+resource-cost hybrid (paper method),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,3,Offline teacher,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,4,No grouping,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,4,CQI k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,4,CQI k-means (k-means++),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,4,Resource-cost k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,4,Multi-feature k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,4,CQI+resource-cost hybrid (paper method),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,4,Offline teacher,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,5,No grouping,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,5,CQI k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,5,CQI k-means (k-means++),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,5,Resource-cost k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,5,Multi-feature k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,5,CQI+resource-cost hybrid (paper method),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,5,Offline teacher,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,6,No grouping,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,6,CQI k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,6,CQI k-means (k-means++),0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
low,seed_0001,medium,6,Resource-cost k-means,0.4471841780840183,3000.0,1.0,3.0,66.66666666666667,1.0
