dispersion,load,seed,method,mean_utility,n_scenarios
high,light,seed_0004,CQI+resource-cost hybrid (paper method),0.2893915229817836,15
high,light,seed_0004,Offline teacher,0.308698585255465,15
high,light,seed_0005,No grouping,0.13134958206640732,15
high,light,seed_0005,CQI k-means,0.2678071023582607,15
high,light,seed_0005,CQI k-means (k-means++),0.26924882810724793,15
high,light,seed_0005,Resource-cost k-means,0.2698613492212639,15
high,light,seed_0005,Multi-feature k-means,0.2814881857808835,15
high,light,seed_0005,CQI+resource-cost hybrid (paper method),0.2808032438432344,15
high,light,seed_0005,Offline teacher,0.30570924169630964,15
high,light,seed_0006,No grouping,0.1550786748459065,15
high,light,seed_0006,CQI k-means,0.28126319673528644,15
high,light,seed_0006,CQI k-means (k-means++),0.279388036370772,15
high,light,seed_0006,Resource-cost k-means,0.29055708707207056,15
high,light,seed_0006,Multi-feature k-means,0.2677664415099597,15
high,light,seed_0006,CQI+resource-cost hybrid (paper method),0.29309203728014066,15
high,light,seed_0006,Offline teacher,0.31512370362999526,15
high,light,seed_0007,No grouping,0.16717219535724573,15
high,light,seed_0007,CQI k-means,0.2821740097622613,15
high,light,seed_0007,CQI k-means (k-means++),0.2821740097622613,15
high,light,seed_0007,Resource-cost k-means,0.2904573471206131,15
high,light,seed_0007,Multi-feature k-means,0.2889710986257612,15
high,light,seed_0007,CQI+resource-cost hybrid (paper method),0.2971425814356917,15
high,light,seed_0007,Offline teacher,0.3265045112160309,15
high,light,seed_0008,No grouping,0.16701954594285265,15
high,light,seed_0008,CQI k-means,0.2695825227713176,15
high,light,seed_0008,CQI k-means (k-means++),0.2685938105721718,15
high,light,seed_0008,Resource-cost k-means,0.27165273416004376,15
high,light,seed_0008,Multi-feature k-means,0.27083401570225774,15
high,light,seed_0008,CQI+resource-cost hybrid (paper method),0.2806711229805009,15
high,light,seed_0008,Offline teacher,0.3116147071396876,15
high,light,seed_0009,No grouping,0.17911306645419187,15
high,light,seed_0009,CQI k-means,0.3003999894114484,15
high,light,seed_0009,CQI k-means (k-means++),0.3003999894114484,15
high,light,seed_0009,Resource-cost k-means,0.3016957831868977,15
high,light,seed_0009,Multi-feature k-means,0.29530326762499887,15
high,light,seed_0009,CQI+resource-cost hybrid (paper method),0.30777925842130516,15
high,light,seed_0009,Offline teacher,0.33017772000537604,15
high,light,seed_0010,No grouping,0.1552313242602996,15
high,light,seed_0010,CQI k-means,0.2682612062343738,15
high,light,seed_0010,CQI k-means (k-means++),0.2646010213233458,15
high,light,seed_0010,Resource-cost k-means,0.2787995094509611,15
high,light,seed_0010,Multi-feature k-means,0.27713337360632084,15
high,light,seed_0010,CQI+resource-cost hybrid (paper method),0.28290223535345765,15
high,light,seed_0010,Offline teacher,0.31129048951896043,15
high,medium,seed_0001,No grouping,0.09552696877556896,15
high,medium,seed_0001,CQI k-means,0.18814153548968882,15
high,medium,seed_0001,CQI k-means (k-means++),0.19027796969463986,15
high,medium,seed_0001,Resource-cost k-means,0.1767046474707382,15
high,medium,seed_0001,Multi-feature k-means,0.180557701194385,15
high,medium,seed_0001,CQI+resource-cost hybrid (paper method),0.1996357534290599,15
high,medium,seed_0001,Offline teacher,0.22025244938566932,15
high,medium,seed_0002,No grouping,0.01194087109694612,15
high,medium,seed_0002,CQI k-means,0.13628184797653217,15
high,medium,seed_0002,CQI k-means (k-means++),0.13820838923669276,15
high,medium,seed_0002,Resource-cost k-means,0.12272609484047801,15
high,medium,seed_0002,Multi-feature k-means,0.13181041050411813,15
high,medium,seed_0002,CQI+resource-cost hybrid (paper method),0.14368128848945977,15
high,medium,seed_0002,Offline teacher,0.19515156637543873,15
high,medium,seed_0003,No grouping,0.059704355484730603,15
high,medium,seed_0003,CQI k-means,0.16771568009774507,15
high,medium,seed_0003,CQI k-means (k-means++),0.16672060750633289,15
high,medium,seed_0003,Resource-cost k-means,0.16161809429729307,15
high,medium,seed_0003,Multi-feature k-means,0.1607375087666757,15
high,medium,seed_0003,CQI+resource-cost hybrid (paper method),0.17702258069403404,15
high,medium,seed_0003,Offline teacher,0.20744368474596422,15
high,medium,seed_0004,No grouping,0.035822613290838363,15
high,medium,seed_0004,CQI k-means,0.15828796084506924,15
