dispersion,seed,usable_scenarios,users,bands,history_steps,cqi_mean,cqi_std,cqi_min,cqi_p05,cqi_median,cqi_p95,cqi_max,duration_s,radio_gzip_bytes,mobility_gzip_bytes,radio_uncompressed_sha256,mobility_uncompressed_sha256
mid,7,15,24,25,5,12.683333333333334,2.145991094524341,4,8.0,13.0,15.0,15,18,13521671,231350,e6635ab3e2373d1ae66fc4b6f9fe4d0d597d5c3a36e5fcc83de1eacc372c2d87,3519db925991b2a6a2fa6c1777a97cc31595b22c20cd55a5c3aa6162ae494360
high,7,15,24,25,5,9.358333333333333,2.9947987318757243,2,4.0,10.0,14.0,15,18,13766610,231350,0cbc23be84b11b31ae7e5e2ba9d8df8ba9662700d5798bccc51b708361e4b852,3519db925991b2a6a2fa6c1777a97cc31595b22c20cd55a5c3aa6162ae494360
low,8,15,24,25,5,14.675,0.7618963913230664,9,13.0,15.0,15.0,15,15,12571693,230079,523228fb96710476b945d7c8aec2920eddc509728ff6180a4fa5737b31bf9872,e7d45d3a8afc221a1ddd316b19a0f0e3e5c55bd865fb19c51f9e5529698f3e00
mid,8,15,24,25,5,12.547222222222222,2.271317056872401,6,8.0,13.0,15.0,15,17,13420137,230079,f8b9c6a88a5840ff8c3c7d1400a1ecb63c8c7cbe0d2015ea592bfe6449bf5741,e7d45d3a8afc221a1ddd316b19a0f0e3e5c55bd865fb19c51f9e5529698f3e00
high,8,15,24,25,5,8.955555555555556,2.910368862117008,2,4.0,9.0,13.050000000000011,15,17,13653818,230079,1e5528dd4e3a6c6f186d98429a3c0953c2ffcf653824aed836981bf06c41b929,e7d45d3a8afc221a1ddd316b19a0f0e3e5c55bd865fb19c51f9e5529698f3e00
low,9,15,24,25,5,14.716666666666667,0.6478597241858937,12,13.0,15.0,15.0,15,16,12539803,229708,f2330bf81dc13f2fd891432c19dba075325e3645576b38b79ede86594c6f28fc,7a64979872dade9cd96576600951a514fdf8ab1dfd7b10bde613d866abb11024
mid,9,15,24,25,5,12.583333333333334,2.168909095989656,6,8.0,13.0,15.0,15,16,13442958,229708,6cd0aa1b850c81aac368de6398239d7dbebdff34fc2bd66cfcea535e793dd384,7a64979872dade9cd96576600951a514fdf8ab1dfd7b10bde613d866abb11024
high,9,15,24,25,5,9.552777777777777,3.0700150299225926,3,4.0,10.0,14.0,15,18,13580104,229708,1c29d3094359f57c08eb0e9b835661a86060a50e2762439bfa728905c4482003,7a64979872dade9cd96576600951a514fdf8ab1dfd7b10bde613d866abb11024
low,10,15,24,25,5,14.808333333333334,0.6275503521188116,8,14.0,15.0,15.0,15,17,12321696,227387,94d274d73d53f8351cbdaa70f0ea381778cdab2f97a0fba555ab56d90396cdf2,0aaaccdc73c8405f6d4bc91cec8572f96ff3015a641418d0b1a9e68e515a6d37
mid,10,15,24,25,5,12.666666666666666,2.106867079074731,6,8.0,13.0,15.0,15,18,13287830,227387,1ef672db82137152e3021ee80c9f82d4c288ab362a4ec80364771f41b69d942d,0aaaccdc73c8405f6d4bc91cec8572f96ff3015a641418d0b1a9e68e515a6d37
high,10,15,24,25,5,8.997222222222222,3.113142937710584,2,4.0,9.0,14.0,15,18,13527243,227387,38d447a8364f647efa56709de0f04c9c73f31e7192cef72b332d9d5891a31f49,0aaaccdc73c8405f6d4bc91cec8572f96ff3015a641418d0b1a9e68e515a6d37
