dispersion,seed,usable_scenarios,users,bands,history_steps,cqi_mean,cqi_std,cqi_min,cqi_p05,cqi_median,cqi_p95,cqi_max,duration_s,radio_gzip_bytes,mobility_gzip_bytes,radio_uncompressed_sha256,mobility_uncompressed_sha256
mid,17,15,24,25,5,12.488888888888889,2.3021460733867167,4,7.0,13.0,15.0,15,30,13388515,232009,f2daff1e1f83d24181e22c0d963e9c4f304a16f8174077a5030cfbbc356993a6,47be7d52dc93bc4d3448089194a85ee2491d12b8b4744eba4aca6dcd3ba8078c
high,17,15,24,25,5,9.363888888888889,2.909434154395908,3,5.0,9.0,14.0,15,32,13785312,232009,6c351665e50fe49a340a4838dfd21d41a7ab4bfe6a26113836798508c8570524,47be7d52dc93bc4d3448089194a85ee2491d12b8b4744eba4aca6dcd3ba8078c
low,18,15,24,25,5,14.744444444444444,0.6112121128655585,11,13.0,15.0,15.0,15,31,12151427,230386,19e9422041ba0354a44b411571abc92be77a183f73bdf326351630636a11d6a4,522e085c7f37d5aaa320fd0dca9437b12e267e7cec4bb3e142f20757a4dc7068
mid,18,15,24,25,5,12.516666666666667,2.26439837484485,5,8.0,13.0,15.0,15,34,13286220,230386,0f2e9e2c33fc7b219e2611636555010f775525bd8161c3f09e8da4096089542a,522e085c7f37d5aaa320fd0dca9437b12e267e7cec4bb3e142f20757a4dc7068
high,18,15,24,25,5,9.183333333333334,2.982308948896252,2,4.0,9.5,13.0,15,32,13711952,230386,de20d9aa43bdabcfae2042bb70ccfc616a61338847a2be908da35da7d3ba4c33,522e085c7f37d5aaa320fd0dca9437b12e267e7cec4bb3e142f20757a4dc7068
low,19,15,24,25,5,14.775,0.6428560405634288,9,13.95,15.0,15.0,15,32,12178780,231396,86e3b8ab164c1ca949ce5c0310b719c664e338644d33a400484f51f83c81b144,06e01afd6f9fc2232c111694d48c2b4b3eb4fdbdfa669afb5cbab16e19f3ec9f
mid,19,15,24,25,5,12.4,2.2769375143917423,4,8.0,13.0,15.0,15,35,13373576,231396,d1ead21e63b5162e1b977f32c65ed73f1e8e7f779eaf75eb7a1043bba677ba34,06e01afd6f9fc2232c111694d48c2b4b3eb4fdbdfa669afb5cbab16e19f3ec9f
high,19,15,24,25,5,9.194444444444445,2.84623966786242,2,5.0,9.0,14.0,15,33,13752623,231396,2f58ca7979d38b1fc73f67f3ac9b736ea972f70eafc213b884f8a64365ce0e79,06e01afd6f9fc2232c111694d48c2b4b3eb4fdbdfa669afb5cbab16e19f3ec9f
low,20,15,24,25,5,14.858333333333333,0.4208952099724797,12,14.0,15.0,15.0,15,34,11980502,228591,6c9b2744c1084a85247a9a873ab4d3e136487ebc0cd3b44c1cb489ce9aae1b57,16fd3a6a21ccd52e75ad82dc5fccdedea1ec06e520c7104981f83c9d8ead8942
mid,20,15,24,25,5,12.661111111111111,2.010151704857922,6,9.0,13.0,15.0,15,37,13223420,228591,932712941144125864985a530512518da5dbe8c283c822e7c63bd94e2a4efcfb,16fd3a6a21ccd52e75ad82dc5fccdedea1ec06e520c7104981f83c9d8ead8942
