dispersion,seed,usable_scenarios,users,bands,history_steps,cqi_mean,cqi_std,cqi_min,cqi_p05,cqi_median,cqi_p95,cqi_max,duration_s,radio_gzip_bytes,mobility_gzip_bytes,radio_uncompressed_sha256,mobility_uncompressed_sha256
low,37,15,24,25,5,14.772222222222222,0.5805223275977472,10,14.0,15.0,15.0,15,29,12088881,229429,7cdf0b0446086fa3f905c93a5fee6f1f9e1bff233e7652cb84bf22f2f484e2ec,0a8268c8c1d871e0151969bbbc46c38079847844985cea493cab90313860a8cc
mid,37,15,24,25,5,12.491666666666667,2.2372943729225954,4,8.0,13.0,15.0,15,32,13225669,229429,79c82f031e0cbcdc12f4e4fd24559a84d666692a5289355b712ecbcd56b1230b,0a8268c8c1d871e0151969bbbc46c38079847844985cea493cab90313860a8cc
high,37,15,24,25,5,9.402777777777779,3.054412665046271,2,4.0,10.0,14.0,15,32,13662869,229429,b977629cd925548ef1279861016321f2f21667b1acd7af24681db443ed8e5f70,0a8268c8c1d871e0151969bbbc46c38079847844985cea493cab90313860a8cc
low,38,15,24,25,5,14.797222222222222,0.5115260996442742,12,14.0,15.0,15.0,15,29,12037474,229479,2fb0e6429ee7ca4722eecc50c6f6bef296df7589e13f1174da4d7cda850450fa,6f6e2c53fff2e4c82ce771c048368a3f190e9123900aa2964b0b0bdb3cce063d
mid,38,15,24,25,5,12.66388888888889,2.087216750946604,6,8.0,13.0,15.0,15,28,13257535,229479,3c61f6e0c35cc63d78d17abf67925b5169fd04c48286c3a497e85e4fc559ff60,6f6e2c53fff2e4c82ce771c048368a3f190e9123900aa2964b0b0bdb3cce063d
high,38,15,24,25,5,9.169444444444444,3.0141628139726957,2,4.0,10.0,14.0,15,31,13667452,229479,e285f5db332ba63450175b8eff920fa30c8f007174ce80552bc66158869a0215,6f6e2c53fff2e4c82ce771c048368a3f190e9123900aa2964b0b0bdb3cce063d
low,39,15,24,25,5,14.716666666666667,0.7131697631778223,10,13.0,15.0,15.0,15,26,12004582,228521,6029017ad174d60296f80a0bd1cdefe41472d83ab5cc51d49609de8bd78afb84,783a8d496bc618c413c119945358e5b42eec481969753d006f91b19349af675c
mid,39,15,24,25,5,12.66388888888889,2.150148932539038,5,8.95,13.0,15.0,15,27,13196840,228521,753e2c26df472ad5e952b8c0b7250deece3ae16e25602e7c4b5d17cb8ac400ce,783a8d496bc618c413c119945358e5b42eec481969753d006f91b19349af675c
high,39,15,24,25,5,9.555555555555555,2.960334482269458,3,5.0,10.0,14.0,15,27,13594724,228521,f9e465b5e16433c62de55d4b596a48b2c3e2c9bfc5ac5dced3bb65782862b294,783a8d496bc618c413c119945358e5b42eec481969753d006f91b19349af675c
low,40,15,24,25,5,14.775,0.5184780076767427,12,14.0,15.0,15.0,15,28,12149098,231106,0ebddae06bf8553f61bfec75ce3a37579c9a629125980b5a106fe76dc4b45bdf,d6112ef397cd9fefcaa95b6a38e856d1fff3177e8b12e72eaad43c110c8a72d4
mid,40,15,24,25,5,12.488888888888889,2.2273274690357026,5,8.0,13.0,15.0,15,27,13395556,231106,b6d40b40853043b50ea3256b14907ea1f0df6f4da830bc5ad15777a101b46d09,d6112ef397cd9fefcaa95b6a38e856d1fff3177e8b12e72eaad43c110c8a72d4
