method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,selected_epoch,selection_validation_loss,pair_sampling,train_positive_pairs,train_negative_pairs,train_active_negative_ratio,train_mean_negative_distance,benchmark_id,benchmark_title,cqi_dispersion,rb_heterogeneity,pressure,scenario_mode,rb_budget_ratio,kmax,seed,feature_mode,train_scenarios,test_scenarios
No grouping,0.8582447783169405,5800.0,22.555555555555557,12.88888888888889,1.0,0.0,4.0,0.5833333333333333,0.14166666666666666,1.0,1.0,1,0.6314491393750229,random_balanced,31.75,18.5,0.5782670454545454,0.9059421970562852,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,0.42,3,31,history_cost_quality,4,2
CQI k-means,0.8593085837377055,6225.0,17.310344827586206,13.833333333333334,1.0,0.0,4.25,0.8166666666666667,0.175,0.9919623984870397,1.5,1,0.6314491393750229,random_balanced,31.75,18.5,0.5782670454545454,0.9059421970562852,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,0.42,3,31,history_cost_quality,4,2
Resource-cost k-means,0.8582447783169405,5800.0,22.555555555555557,12.88888888888889,1.0,0.0,4.0,0.5833333333333333,0.14166666666666666,1.0,1.0,1,0.6314491393750229,random_balanced,31.75,18.5,0.5782670454545454,0.9059421970562852,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,0.42,3,31,history_cost_quality,4,2
Multi-feature k-means,0.8582447783169405,5800.0,22.555555555555557,12.88888888888889,1.0,0.0,4.0,0.5833333333333333,0.14166666666666666,1.0,1.0,1,0.6314491393750229,random_balanced,31.75,18.5,0.5782670454545454,0.9059421970562852,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,0.42,3,31,history_cost_quality,4,2
Offline teacher,0.8712766810273229,6012.5,15.603448275862068,13.36111111111111,1.0,0.0,4.125,0.8666666666666667,0.13333333333333333,0.9915277984926347,2.0,1,0.6314491393750229,random_balanced,31.75,18.5,0.5782670454545454,0.9059421970562852,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,0.42,3,31,history_cost_quality,4,2
LE-GRA MVP,0.8617317597085616,6083.333333333334,17.82905982905983,13.518518518518519,1.0,0.0,4.166666666666666,0.7666666666666666,0.15833333333333333,0.992201624436709,1.5,1,0.6314491393750229,random_balanced,31.75,18.5,0.5782670454545454,0.9059421970562852,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,0.42,3,31,history_cost_quality,4,2
