segment_id,ue_ids,serving_gnb,segment_start_s,segment_end_s,suggested_split_s,focus_train_scenarios,focus_test_scenarios,focus_train_positive_gain_count,focus_test_positive_gain_count
seg_02,1|2|3|4|5|6,gnb_2,27.3,27.6,27.4,3,2,2,2
seg_02,1|2|3|4|5|6,gnb_2,27.3,27.6,27.3,2,3,1,3
seg_01,0|1|2|3,gnb_2,16.2,16.4,16.2,23,2,1,2
seg_01,0|1|2|3,gnb_2,16.2,16.4,16.3,24,1,2,1
seg_02,1|2|3|4|5|6,gnb_2,27.3,27.6,27.5,4,1,3,1
seg_03,3|31|4|5|6,gnb_2,31.1,31.2,31.1,2,1,1,1
