ue_id,snapshot_count,cqi_min,cqi_max,previous_quality_min,previous_quality_max,distance_min_m,distance_max_m,cost_min,cost_max
31,20,13.0,15.0,2.0,2.0,53.35,56.99,3.166667,3.333333
4,20,13.0,14.0,2.0,2.0,109.32,118.60,3.166667,3.333333
6,20,15.0,15.0,1.0,2.0,150.64,156.35,3.166667,3.166667
7,20,14.0,14.0,1.0,2.0,162.49,164.69,3.166667,3.166667
